year,month,day,breed,gender,spayneuter,zipcode,age
2018,3,23,shih tzu,F,FALSE,11209,13
2018,3,27,bichon frise,U,FALSE,NA,NA
2018,3,26,pit bull,U,FALSE,11207,NA
2018,3,23,pit bull,U,FALSE,NA,NA
2018,3,25,NA,U,FALSE,NA,NA
2018,3,28,pit bull,F,TRUE,11221,4
2018,3,29,shih tzu,F,FALSE,11237,2
2018,3,30,bichon / poodle,M,FALSE,11226,11
2018,4,1,NA,U,FALSE,NA,NA
2018,3,31,maltese,M,TRUE,11215,11
2018,4,4,mixed,F,FALSE,11208,4
2018,3,31,maltese/ shih tzu,M,FALSE,11234,3
2018,3,31,siberian husky,M,FALSE,11214,4
2018,4,4,mixed,M,FALSE,11207,10
2018,4,4,mixed,M,FALSE,11207,10
2018,4,3,mixed,M,FALSE,11237,3
2018,4,4,mixed,M,FALSE,11237,3
2018,3,29,mixed,M,FALSE,11216,4
2018,4,4,mixed,M,FALSE,11216,4
2018,4,8,mixed,M,FALSE,11249,2
2018,4,8,mixed,M,FALSE,11249,2
2018,4,7,akita,M,FALSE,11207,4
2018,4,8,shih tzu,M,FALSE,NA,3
2018,4,8,rat terrier,U,TRUE,11211,1
2018,4,9,boston terrier/chihuahua,F,TRUE,11201,6
2018,4,9,german shepherd,M,TRUE,11221,3
2018,3,31,pit bull,U,FALSE,11218,NA
2018,4,7,sheperd,U,FALSE,NA,NA
2018,4,8,mixed,M,TRUE,11238,3
2018,4,9,siberian husky,M,TRUE,11238,1
2018,4,10,shih tzu,M,TRUE,NA,6
2018,4,10,pit bull,U,FALSE,11236,NA
2018,4,10,maltese,F,TRUE,11223,10
2018,4,2,mixed,F,TRUE,11218,6
2018,4,8,yorkshire terrier,M,FALSE,11221,6
2018,4,7,border collie,M,FALSE,NA,NA
2018,4,7,pit bull,M,FALSE,11230,1
2018,4,14,cane corso,F,FALSE,11234,9
2018,4,16,dachshund smooth coat,F,TRUE,11249,12
2018,4,16,rottweiler,M,TRUE,11208,2
2018,4,15,hound,U,FALSE,11231,NA
2018,4,12,pit bull,U,FALSE,11217,NA
2018,4,10,maltese/ shih tzu,M,TRUE,11201,1
2018,4,18,pit bull,U,FALSE,11207,NA
2018,4,18,pit bull,U,FALSE,11236,NA
2018,4,18,mixed,M,FALSE,11236,2
2018,4,18,NA,U,FALSE,NA,NA
2018,4,19,pit bull,M,FALSE,11206,5
2018,4,21,pit bull,M,FALSE,11231,3
2018,4,23,shih tzu,M,FALSE,11229,7
2018,4,19,german shepherd,U,FALSE,11233,NA
2018,4,23,mixed,M,FALSE,11208,8
2018,4,21,pit bull,U,FALSE,11220,NA
2018,4,21,NA,U,FALSE,11238,NA
2018,4,23,german shepherd,M,TRUE,11230,2
2018,4,24,german shepherd,M,TRUE,11226,8
2018,4,24,pit bull,U,FALSE,11209,NA
2018,4,18,NA,U,FALSE,11214,NA
2018,4,23,NA,U,FALSE,NA,NA
2018,4,24,pit bull,U,FALSE,11206,NA
2018,4,24,pit bull,U,FALSE,NA,NA
2018,4,18,chihuahua,U,FALSE,11221,NA
2018,4,25,shih tzu,U,FALSE,11233,NA
2018,4,26,pit bull,U,FALSE,11238,NA
2018,4,2,lhasa apso/poodle,F,TRUE,11210,5
2018,4,29,pit bull,U,FALSE,11233,NA
2018,4,27,mixed,M,FALSE,11203,5
2018,4,25,asian sheperd,M,TRUE,11204,2
2018,5,1,german shepherd,M,TRUE,11230,0.75
2018,4,29,mixed,F,TRUE,11232,2
2018,5,1,mixed,U,FALSE,NA,NA
2018,4,14,mixed,M,FALSE,NA,4
2018,5,1,golden retriever,M,FALSE,11230,1
2018,5,2,pit bull,F,FALSE,11220,4
2018,5,2,pit bull,U,FALSE,11213,NA
2018,5,2,labrador retriever,M,TRUE,11222,5
2018,4,27,pit bull,U,FALSE,11215,NA
2018,5,3,NA,U,FALSE,11234,NA
2018,5,7,pit bull,M,FALSE,11224,NA
2018,5,5,NA,U,FALSE,11204,NA
2018,5,5,NA,M,FALSE,11220,NA
2018,5,4,yorkshire terrier,M,TRUE,11214,15
