"fips","year","month","cases_new_mean","cases_new_per_pop","deaths_new_mean","deaths_new_per_pop","population_density_per_sqmi"
"36001","2020","03",11.7894736842105,3.82910630197392e-05,106.684210526316,0.000346499931879515,588.910708747266
"36001","2020","04",31.3,0.000101659353472495,575.066666666667,0.00186776056028486,588.910708747266
"36001","2020","05",22.4193548387097,7.28158823697662e-05,1451.16129032258,0.00471323062487238,588.910708747266
"36001","2020","06",8.06666666666667,2.61997481792799e-05,1863.4,0.00605214182941366,588.910708747266
"36001","2020","07",12.9354838709677,4.20131925615485e-05,2130.8064516129,0.00692065195674087,588.910708747266
"36001","2020","08",8.61290322580645,2.79738713564425e-05,2518.12903225806,0.00817863799935063,588.910708747266
"36001","2020","09",11.6666666666667,3.78921977799503e-05,2825.23333333333,0.00917608287781498,588.910708747266
"36001","2020","10",19.4838709677419,6.32817164767464e-05,3271.96774193548,0.0106270327548889,588.910708747266
"36001","2020","11",69.7333333333333,0.000226487079301874,4499.96666666667,0.0146154537374157,588.910708747266
"36001","2020","12",147.5,0.0004790656433608,6044.25,0.0196311356941255,588.910708747266
"36003","2020","03",0.333333333333333,6.98812019566737e-06,2.93333333333333,6.14954577218728e-05,46.3421861076953
"36003","2020","04",0.933333333333333,1.95667365478686e-05,25.8,0.000540880503144654,46.3421861076953
"36003","2020","05",0.32258064516129,6.76269696354906e-06,41.0322580645161,0.000860215053763441,46.3421861076953
"36003","2020","06",0.466666666666667,9.78336827393431e-06,54.5333333333333,0.00114325646401118,46.3421861076953
"36003","2020","07",0.483870967741935,1.01440454453236e-05,68.6129032258064,0.00143842564414689,46.3421861076953
"36003","2020","08",0.483870967741935,1.01440454453236e-05,79.6774193548387,0.00167038614999662,46.3421861076953
"36003","2020","09",0.833333333333333,1.74703004891684e-05,94.6,0.0019832285115304,46.3421861076953
"36003","2020","10",7.32258064516129,0.000153513221072564,195.129032258065,0.00409075539325083,46.3421861076953
"36003","2020","11",23.3666666666667,0.000489867225716282,624.433333333333,0.0130908455625437,46.3421861076953
"36003","2020","12",21.25,0.000445492662473795,1031.5,0.0216247379454927,46.3421861076953
"36007","2020","03",2.17647058823529,1.1026748208973e-05,10.6470588235294,5.39416601574083e-05,279.65986781305
"36007","2020","04",8.2,4.15440189278603e-05,152.9,0.000774643962691444,279.65986781305
"36007","2020","05",9.09677419354839,4.60873852779568e-05,391.967741935484,0.00198584332805834,279.65986781305
"36007","2020","06",5,2.53317188584514e-05,591.8,0.00299826224408631,279.65986781305
"36007","2020","07",10.3548387096774,5.24611726036317e-05,798.096774193548,0.00404343262114159,279.65986781305
"36007","2020","08",8.70967741935484,4.41262199469799e-05,1098.64516129032,0.00556611407020089,279.65986781305
"36007","2020","09",12.2,6.18093940146215e-05,1358.7,0.00688364128259559,279.65986781305
"36007","2020","10",65.7096774193548,0.000332907814933326,2663.70967741935,0.0134952689337847,279.65986781305
"36007","2020","11",55.2333333333333,0.000279831054323027,4347.1,0.0220239030099148,279.65986781305
"36007","2020","12",100.25,0.000507900963111951,5454.75,0.0276356386886276,279.65986781305
"36009","2020","03",1.66666666666667,2.12297998454471e-05,5.33333333333333,6.79353595054306e-05,60.0033837857786
"36009","2020","04",1.36666666666667,1.74084358732666e-05,28.1,0.000357934425394237,60.0033837857786
"36009","2020","05",1.32258064516129,1.68468734257419e-05,66.1612903225806,0.00084275457063894,60.0033837857786
"36009","2020","06",1.16666666666667,1.48608598918129e-05,101.733333333333,0.00129586698256609,60.0033837857786
"36009","2020","07",1.12903225806452,1.43814773146577e-05,135.741935483871,0.0017290644725737,60.0033837857786
"36009","2020","08",1.51612903225806,1.9312269536826e-05,168.612903225806,0.00214777091210616,60.0033837857786
"36009","2020","09",2.36666666666667,3.01463157805348e-05,237.333333333333,0.00302312349799166,60.0033837857786
"36009","2020","10",8.38709677419355,0.000106833831480314,380.741935483871,0.00484984504985442,60.0033837857786
"36009","2020","11",19.9666666666667,0.000254333002148456,735,0.00936234173184215,60.0033837857786
"36009","2020","12",39,0.000496777316383461,1200.25,0.0152886403586987,60.0033837857786
"36011","2020","03",0.125,1.58663671096556e-06,2.25,2.85594607973801e-05,113.917038208601
"36011","2020","04",1.5,1.90396405315868e-05,28.6666666666667,0.000363868685714769,113.917038208601
"36011","2020","05",1.38709677419355,1.76065493087792e-05,64.6774193548387,0.000820956543351214,113.917038208601
"36011","2020","06",0.8,1.01544749501796e-05,103.6,0.00131500450604826,113.917038208601
"36011","2020","07",0.903225806451613,1.14647297824608e-05,128.387096774194,0.00162962944764979,113.917038208601
"36011","2020","08",1.12903225806452,1.43309122280761e-05,160.161290322581,0.00203294226321136,113.917038208601
"36011","2020","09",1.4,1.77703311628143e-05,192.833333333333,0.00244765156611621,113.917038208601
"36011","2020","10",7.03225806451613,8.92611104491594e-05,294.161290322581,0.00373381681736644,113.917038208601
"36011","2020","11",15.0666666666667,0.000191242611561716,636.066666666667,0.00807365379163864,113.917038208601
"36011","2020","12",31.75,0.000403005724585253,953.5,0.0121028648312453,113.917038208601
"36013","2020","03",0.833333333333333,6.32520670775521e-06,3.83333333333333,2.9095950855674e-05,124.26406905056
"36013","2020","04",0.9,6.83122324437563e-06,21.2,0.000160913258645293,124.26406905056
"36013","2020","05",1.64516129032258,1.24871822746651e-05,51.2258064516129,0.000388816577493494,124.26406905056
"36013","2020","06",1.43333333333333,1.0879355537339e-05,104.5,0.000793180921152503,124.26406905056
"36013","2020","07",3.25806451612903,2.47295178380623e-05,176.451612903226,0.00133931151063565,124.26406905056
