FIPS,county_name,year,pincp,pop_18_24,pop_25_over
36053,Madison,2016,40589,9881,47606
36053,Madison,2017,43071,9713,47707
36053,Madison,2018,43607,9531,47906
36053,Madison,2019,45453,9423,47967
36053,Madison,2020,49137,9332,48061
36055,Monroe,2015,48030,82330,504452
36055,Monroe,2016,48713,81025,507237
36055,Monroe,2017,50926,79001,510165
36055,Monroe,2018,52173,76369,510506
36055,Monroe,2019,54174,74733,512676
36055,Monroe,2020,58299,73604,514795
36057,Montgomery,2015,37598,4131,34275
36057,Montgomery,2016,38765,4092,34243
36057,Montgomery,2017,40678,4048,34126
36057,Montgomery,2018,40534,3928,34213
36057,Montgomery,2019,41995,3797,34199
36057,Montgomery,2020,46332,3792,34193
36059,Nassau,2015,79301,120229,931785
36059,Nassau,2016,81500,121621,934765
36059,Nassau,2017,85859,122061,942504
36059,Nassau,2018,89242,120849,940610
36059,Nassau,2019,92159,119754,943013
36059,Nassau,2020,96253,118047,945100
36061,New York,2015,152793,161844,1229036
36061,New York,2016,163112,158011,1237623
36061,New York,2017,179655,155089,1259137
36061,New York,2018,184539,149638,1247071
36061,New York,2019,187213,147692,1249365
36061,New York,2020,191220,145611,1250303
36063,Niagara,2015,40377,19730,150210
36063,Niagara,2016,41403,19449,150231
36063,Niagara,2017,43664,18932,150502
36063,Niagara,2018,44569,18251,150607
36063,Niagara,2019,47053,17570,150726
36063,Niagara,2020,51506,17092,150950
36065,Oneida,2015,39768,23311,160092
36065,Oneida,2016,40638,23198,159946
36065,Oneida,2017,42772,22906,159917
36065,Oneida,2018,43917,22421,159279
36065,Oneida,2019,46529,22090,158944
36065,Oneida,2020,50201,21671,158727
36067,Onondaga,2015,47323,50990,313724
36067,Onondaga,2016,48072,50425,315056
36067,Onondaga,2017,50610,49527,316513
36067,Onondaga,2018,52624,48534,315658
36067,Onondaga,2019,54379,47911,315878
36067,Onondaga,2020,58919,46936,316302
36069,Ontario,2015,49821,10511,75472
36069,Ontario,2016,49784,10482,76016
36069,Ontario,2017,52226,10353,76354
36069,Ontario,2018,53151,10173,76734
36069,Ontario,2019,55315,10020,77172
36069,Ontario,2020,59335,9904,77782
36071,Orange,2015,47272,39554,237282
36071,Orange,2016,47969,40168,238224
36071,Orange,2017,50074,40184,240447
36071,Orange,2018,51247,40210,240918
36071,Orange,2019,53287,40018,242775
36071,Orange,2020,57688,39950,244598
36073,Orleans,2015,35542,3940,29584
36073,Orleans,2016,35976,3754,29695
36073,Orleans,2017,37977,3535,29704
36073,Orleans,2018,38959,3378,29632
36073,Orleans,2019,39798,3351,29499
36073,Orleans,2020,44477,3147,29626
36075,Oswego,2015,36176,14556,79996
36075,Oswego,2016,36955,14170,80149
36075,Oswego,2017,39152,13908,80201
36075,Oswego,2018,40067,13526,80149
36075,Oswego,2019,42047,13124,80093
36075,Oswego,2020,46210,12741,80077
36077,Otsego,2015,39445,10762,40102
36077,Otsego,2016,40241,10836,39869
36077,Otsego,2017,42355,10664,40004
36077,Otsego,2018,43670,10459,39907
36077,Otsego,2019,45672,10330,39939
36077,Otsego,2020,49275,10051,40044
36079,Putnam,2015,59890,8086,69527
36079,Putnam,2016,61487,8332,69769
36079,Putnam,2017,63485,8336,70373
36079,Putnam,2018,66740,8461,70298
36079,Putnam,2019,69542,8355,70564
36079,Putnam,2020,73152,8310,70813
36081,Queens,2015,43080,210593,1619173
36081,Queens,2016,44074,206170,1630963
36081,Queens,2017,46907,200009,1665576
36081,Queens,2018,49212,186799,1646256
36081,Queens,2019,51530,179669,1645396
36081,Queens,2020,57085,173423,1640266
36083,Rensselaer,2015,44383,17879,109306
36083,Rensselaer,2016,45280,17455,110059
36083,Rensselaer,2017,47497,16899,110822
36083,Rensselaer,2018,48618,16626,111082
36083,Rensselaer,2019,50481,16369,111735
36083,Rensselaer,2020,54748,15955,112000
36085,Richmond,2015,50841,43831,322287
36085,Richmond,2016,51806,43156,324340
36085,Richmond,2017,54227,42120,328506
36085,Richmond,2018,55695,40845,328753
36085,Richmond,2019,57990,39994,330661
36085,Richmond,2020,62558,39466,332149
36087,Rockland,2015,55640,29848,201901
36087,Rockland,2016,56298,30273,202987
36087,Rockland,2017,58153,30382,204647
36087,Rockland,2018,60111,30112,203509
36087,Rockland,2019,62206,29939,203591
36087,Rockland,2020,66350,29701,203609
36089,St. Lawrence,2015,34219,16725,72096
36089,St. Lawrence,2016,34844,16456,72141
36089,St. Lawrence,2017,37166,15976,72131
36089,St. Lawrence,2018,37707,15284,71856
36089,St. Lawrence,2019,39373,15083,71657
36089,St. Lawrence,2020,43034,14906,71681
36091,Saratoga,2015,61407,18696,156862
36091,Saratoga,2016,63065,18928,158211
36091,Saratoga,2017,65490,18899,160285
36091,Saratoga,2018,70010,18915,161493
36091,Saratoga,2019,72219,19003,163010
