fips,human2014,human2016,human2018
6069,50,57.463001,61.754002
6071,51,55.901001,59.220001
6073,49,54.001999,59.423
6075,65,65.941002,70.032997
6077,56,58.111,61.438
6079,54,55.455002,60.474998
6081,61,64.992996,68.834999
6083,54,59.738998,65.768997
6085,58,63.727001,68.049004
6087,61,65.266998,68.417
6089,49,47.798,50.709
6091,51,46.919998,54.327
6093,49,52.323002,55.669998
6095,52,57.438999,61.009998
6097,59,61.466999,63.585999
6099,55,55.888,59.551998
6101,50,52.688999,55.778
6103,47,48.416,50.501999
6105,54,52.769001,55.631001
6107,55,54.691002,58.188
6109,49,49.838001,51.734001
6111,49,55.532001,59.098999
6113,55,62.132,65.846001
6115,46,51.188999,54.037998
8001,55,57.942001,60.645
8003,50,56.049,58.117001
8005,51,55.422001,59.283001
8007,49,51.723,54.887001
8009,43,44.855,49.362999
8011,46,48.824001,51.556
8013,56,61.203999,64.428001
8014,54,55.785999,60.598
8015,44,51.988998,55.660999
8017,39,43.207001,47.597
8019,45,54.646,57.793999
8021,48,54.993,57.879002
8023,48,58.410999,62.224998
8025,47,48.915001,48.708
8027,43,47.587002,52.342999
8029,45,47.942001,50.673
8031,56,62.286999,65.097
8033,41,47.432999,50.883999
8035,46,49.624001,53.855
8037,49,57.999001,61.271
8039,49,49.66,49.188
8041,45,46.123001,52.597
8043,49,49.910999,49.074001
8045,47,53.269001,57.276001
8047,43,54.687,56.708
8049,45,54.848999,56.512001
8051,45,56.456001,61.644001
8053,45,50.875,54.214001
8055,57,57.869999,60.562
8057,44,47.106998,52.061001
8059,45,51.48,54.818001
8061,42,41.528,44.171001
8063,42,43.763,47.379002
8065,50,55.323002,60.241001
8067,53,59.384998,59.900002
8069,52,55.514,58.238998
8071,50,54.681999,57.012001
8073,45,46.312,50.396999
8075,49,49.217999,48.174999
8077,47,48.230999,51.641998
8079,43,56.001999,59.606998
8081,38,39.969002,44.272999
8083,46,49.889,51.424
8085,48,47.539001,49.058998
8087,44,49.066002,50.709
8089,45,52.235001,52.978001
8091,48,55.467999,63.368
8093,55,52.627998,53.081001
8095,49,48.625,49.006001
8097,46,59.973999,63.729
8099,56,51.891998,52.560001
8101,53,55.831001,57.756001
8103,42,43.886002,47.844002
8105,51,52.283001,53.624001
8107,46,53.627998,57.874001
8109,56,60.950001,60.418999
8111,45,55.013,60.396999
8113,52,61.675999,63.625
8115,45,48.835999,50.285
8117,50,58.612999,61.215
8119,49,47.665001,49.902
8121,44,42.777,47.521
8123,45,49.568001,51.816002
8125,44,46.164001,50.622002
9001,57,58.755001,64.699997
9003,46,53.599998,57.492001
9005,52,52.428001,53.912998
9007,49,55.881001,58.43
9009,47,53.862999,57.806999
9011,46,54.412998,57.34
9013,52,54.856998,58.061001
9015,45,52.355999,54.615002
10001,44,53.723999,52.047001
10003,48,53.153999,58.555
10005,51,50.470001,52.307999
11001,65,64.697998,68.336998
12001,53,57.347,61.814999
12003,39,40.419998,43.658001
12005,48,47.688,50.748001
