"fips","year","month","date","county","state","cases","deaths","total_population","area_sqmi"
"36001","2020","06","05","Albany","New York",1941,145,307891,522.814401957382
"36001","2020","06","06","Albany","New York",1953,146,307891,522.814401957382
"36001","2020","06","07","Albany","New York",1961,148,307891,522.814401957382
"36001","2020","06","08","Albany","New York",1978,148,307891,522.814401957382
"36001","2020","06","09","Albany","New York",1983,149,307891,522.814401957382
"36001","2020","06","10","Albany","New York",1986,150,307891,522.814401957382
"36001","2020","06","11","Albany","New York",1996,152,307891,522.814401957382
"36001","2020","06","12","Albany","New York",2007,152,307891,522.814401957382
"36001","2020","06","13","Albany","New York",2016,152,307891,522.814401957382
"36001","2020","06","14","Albany","New York",2020,153,307891,522.814401957382
"36001","2020","06","15","Albany","New York",2022,154,307891,522.814401957382
"36001","2020","06","16","Albany","New York",2026,156,307891,522.814401957382
"36001","2020","06","17","Albany","New York",2029,157,307891,522.814401957382
"36001","2020","06","18","Albany","New York",2034,157,307891,522.814401957382
"36001","2020","06","19","Albany","New York",2049,157,307891,522.814401957382
"36001","2020","06","20","Albany","New York",2053,157,307891,522.814401957382
"36001","2020","06","21","Albany","New York",2054,157,307891,522.814401957382
"36001","2020","06","22","Albany","New York",2060,157,307891,522.814401957382
"36001","2020","06","23","Albany","New York",2062,157,307891,522.814401957382
"36001","2020","06","24","Albany","New York",2065,157,307891,522.814401957382
"36001","2020","06","25","Albany","New York",2076,159,307891,522.814401957382
"36001","2020","06","26","Albany","New York",2084,159,307891,522.814401957382
"36001","2020","06","27","Albany","New York",2091,159,307891,522.814401957382
"36001","2020","06","28","Albany","New York",2097,159,307891,522.814401957382
"36001","2020","06","29","Albany","New York",2099,159,307891,522.814401957382
"36001","2020","06","30","Albany","New York",2102,159,307891,522.814401957382
"36001","2020","07","01","Albany","New York",2112,160,307891,522.814401957382
"36001","2020","07","02","Albany","New York",2125,160,307891,522.814401957382
"36001","2020","07","03","Albany","New York",2130,160,307891,522.814401957382
"36001","2020","07","04","Albany","New York",2145,160,307891,522.814401957382
"36001","2020","07","05","Albany","New York",2152,160,307891,522.814401957382
"36001","2020","07","06","Albany","New York",2160,161,307891,522.814401957382
"36001","2020","07","07","Albany","New York",2164,161,307891,522.814401957382
"36001","2020","07","08","Albany","New York",2175,161,307891,522.814401957382
"36001","2020","07","09","Albany","New York",2183,161,307891,522.814401957382
"36001","2020","07","10","Albany","New York",2190,161,307891,522.814401957382
"36001","2020","07","11","Albany","New York",2208,161,307891,522.814401957382
"36001","2020","07","12","Albany","New York",2219,161,307891,522.814401957382
"36001","2020","07","13","Albany","New York",2225,161,307891,522.814401957382
"36001","2020","07","14","Albany","New York",2247,161,307891,522.814401957382
"36001","2020","07","15","Albany","New York",2280,161,307891,522.814401957382
"36001","2020","07","16","Albany","New York",2290,161,307891,522.814401957382
"36001","2020","07","17","Albany","New York",2310,162,307891,522.814401957382
"36001","2020","07","18","Albany","New York",2315,163,307891,522.814401957382
"36001","2020","07","19","Albany","New York",2318,164,307891,522.814401957382
"36001","2020","07","20","Albany","New York",2322,164,307891,522.814401957382
"36001","2020","07","21","Albany","New York",2351,165,307891,522.814401957382
"36001","2020","07","22","Albany","New York",2369,166,307891,522.814401957382
"36001","2020","07","23","Albany","New York",2401,166,307891,522.814401957382
"36001","2020","07","24","Albany","New York",2426,166,307891,522.814401957382
"36001","2020","07","25","Albany","New York",2438,166,307891,522.814401957382
"36001","2020","07","26","Albany","New York",2451,166,307891,522.814401957382
"36001","2020","07","27","Albany","New York",2453,166,307891,522.814401957382
"36001","2020","07","28","Albany","New York",2468,167,307891,522.814401957382
"36001","2020","07","29","Albany","New York",2480,168,307891,522.814401957382
"36001","2020","07","30","Albany","New York",2493,169,307891,522.814401957382
"36001","2020","07","31","Albany","New York",2503,169,307891,522.814401957382
"36001","2020","08","01","Albany","New York",2515,170,307891,522.814401957382
"36001","2020","08","02","Albany","New York",2521,170,307891,522.814401957382
"36001","2020","08","03","Albany","New York",2531,170,307891,522.814401957382
"36001","2020","08","04","Albany","New York",2543,170,307891,522.814401957382
"36001","2020","08","05","Albany","New York",2556,170,307891,522.814401957382
"36001","2020","08","06","Albany","New York",2565,116,307891,522.814401957382
"36001","2020","08","07","Albany","New York",2573,116,307891,522.814401957382
"36001","2020","08","08","Albany","New York",2581,116,307891,522.814401957382
"36001","2020","08","09","Albany","New York",2595,116,307891,522.814401957382
"36001","2020","08","10","Albany","New York",2600,116,307891,522.814401957382
"36001","2020","08","11","Albany","New York",2614,117,307891,522.814401957382
"36001","2020","08","12","Albany","New York",2624,117,307891,522.814401957382
"36001","2020","08","13","Albany","New York",2636,118,307891,522.814401957382
"36001","2020","08","14","Albany","New York",2639,118,307891,522.814401957382
"36001","2020","08","15","Albany","New York",2643,118,307891,522.814401957382
"36001","2020","08","16","Albany","New York",2654,118,307891,522.814401957382
"36001","2020","08","17","Albany","New York",2657,119,307891,522.814401957382
"36001","2020","08","18","Albany","New York",2661,119,307891,522.814401957382
"36001","2020","08","19","Albany","New York",2675,119,307891,522.814401957382
"36001","2020","08","20","Albany","New York",2684,120,307891,522.814401957382
"36001","2020","08","21","Albany","New York",2691,120,307891,522.814401957382
"36001","2020","08","22","Albany","New York",2693,120,307891,522.814401957382
"36001","2020","08","23","Albany","New York",2699,120,307891,522.814401957382
"36001","2020","08","24","Albany","New York",2701,120,307891,522.814401957382
"36001","2020","08","25","Albany","New York",2711,120,307891,522.814401957382
"36001","2020","08","26","Albany","New York",2718,120,307891,522.814401957382
"36001","2020","08","27","Albany","New York",2736,121,307891,522.814401957382
"36001","2020","08","28","Albany","New York",2746,121,307891,522.814401957382
"36001","2020","08","29","Albany","New York",2754,122,307891,522.814401957382
"36001","2020","08","30","Albany","New York",2764,122,307891,522.814401957382
"36001","2020","08","31","Albany","New York",2770,122,307891,522.814401957382
"36001","2020","09","01","Albany","New York",2786,122,307891,522.814401957382
"36001","2020","09","02","Albany","New York",2791,122,307891,522.814401957382
"36001","2020","09","03","Albany","New York",2802,122,307891,522.814401957382
"36001","2020","09","04","Albany","New York",2819,122,307891,522.814401957382
"36001","2020","09","05","Albany","New York",2823,122,307891,522.814401957382
"36001","2020","09","06","Albany","New York",2831,122,307891,522.814401957382
"36001","2020","09","07","Albany","New York",2833,122,307891,522.814401957382
"36001","2020","09","08","Albany","New York",2840,122,307891,522.814401957382
"36001","2020","09","09","Albany","New York",2846,122,307891,522.814401957382
"36001","2020","09","10","Albany","New York",2859,122,307891,522.814401957382
"36001","2020","09","11","Albany","New York",2882,122,307891,522.814401957382
"36001","2020","09","12","Albany","New York",2896,123,307891,522.814401957382
"36001","2020","09","13","Albany","New York",2915,123,307891,522.814401957382
"36001","2020","09","14","Albany","New York",2921,123,307891,522.814401957382
"36001","2020","09","15","Albany","New York",2936,123,307891,522.814401957382
"36001","2020","09","16","Albany","New York",2948,123,307891,522.814401957382
"36001","2020","09","17","Albany","New York",2969,123,307891,522.814401957382
"36001","2020","09","18","Albany","New York",2979,123,307891,522.814401957382
"36001","2020","09","19","Albany","New York",3006,123,307891,522.814401957382
"36001","2020","09","20","Albany","New York",3016,123,307891,522.814401957382
"36001","2020","09","21","Albany","New York",3024,123,307891,522.814401957382
"36001","2020","09","22","Albany","New York",3037,123,307891,522.814401957382
"36001","2020","09","23","Albany","New York",3043,123,307891,522.814401957382
"36001","2020","09","24","Albany","New York",3053,123,307891,522.814401957382
"36001","2020","09","25","Albany","New York",3063,123,307891,522.814401957382
"36001","2020","09","26","Albany","New York",3082,123,307891,522.814401957382
"36001","2020","09","27","Albany","New York",3095,123,307891,522.814401957382
"36001","2020","09","28","Albany","New York",3104,123,307891,522.814401957382
"36001","2020","09","29","Albany","New York",3116,123,307891,522.814401957382
"36001","2020","09","30","Albany","New York",3120,123,307891,522.814401957382
"36001","2020","10","01","Albany","New York",3133,123,307891,522.814401957382
"36001","2020","10","02","Albany","New York",3153,123,307891,522.814401957382
"36001","2020","10","03","Albany","New York",3175,123,307891,522.814401957382
"36001","2020","10","04","Albany","New York",3190,123,307891,522.814401957382
"36001","2020","10","05","Albany","New York",3201,123,307891,522.814401957382
"36001","2020","10","06","Albany","New York",3218,123,307891,522.814401957382
"36001","2020","10","07","Albany","New York",3233,123,307891,522.814401957382
"36001","2020","10","08","Albany","New York",3251,123,307891,522.814401957382
"36001","2020","10","09","Albany","New York",3268,123,307891,522.814401957382
"36001","2020","10","10","Albany","New York",3280,124,307891,522.814401957382
"36001","2020","10","11","Albany","New York",3293,124,307891,522.814401957382
"36001","2020","10","12","Albany","New York",3304,124,307891,522.814401957382
"36001","2020","10","13","Albany","New York",3324,124,307891,522.814401957382
"36001","2020","10","14","Albany","New York",3343,124,307891,522.814401957382
"36001","2020","10","15","Albany","New York",3369,124,307891,522.814401957382
"36001","2020","10","16","Albany","New York",3383,124,307891,522.814401957382
"36001","2020","10","17","Albany","New York",3398,124,307891,522.814401957382
"36001","2020","10","18","Albany","New York",3416,124,307891,522.814401957382
"36001","2020","10","19","Albany","New York",3427,126,307891,522.814401957382
"36001","2020","10","20","Albany","New York",3436,126,307891,522.814401957382
"36001","2020","10","21","Albany","New York",3460,126,307891,522.814401957382
"36001","2020","10","22","Albany","New York",3488,126,307891,522.814401957382
"36001","2020","10","23","Albany","New York",3516,127,307891,522.814401957382
"36001","2020","10","24","Albany","New York",3549,128,307891,522.814401957382
"36001","2020","10","25","Albany","New York",3577,128,307891,522.814401957382
"36001","2020","10","26","Albany","New York",3590,128,307891,522.814401957382
"36001","2020","10","27","Albany","New York",3613,128,307891,522.814401957382
"36001","2020","10","28","Albany","New York",3627,128,307891,522.814401957382
"36001","2020","10","29","Albany","New York",3660,128,307891,522.814401957382
"36001","2020","10","30","Albany","New York",3705,128,307891,522.814401957382
"36001","2020","10","31","Albany","New York",3724,130,307891,522.814401957382
"36001","2020","11","01","Albany","New York",3750,130,307891,522.814401957382
