play_id,game_id,drive,posteam,receiver,passer,epa
39,2023_01_ARI_WAS,1,WAS,NA,NA,0
55,2023_01_ARI_WAS,1,WAS,NA,NA,-0.33610345609486103
77,2023_01_ARI_WAS,1,WAS,J.Dotson,S.Howell,0.7033076239749789
102,2023_01_ARI_WAS,1,WAS,NA,NA,0.4697992135770619
124,2023_01_ARI_WAS,1,WAS,L.Thomas,S.Howell,-0.5215439065359533
147,2023_01_ARI_WAS,1,WAS,J.Dotson,S.Howell,1.1731545135844499
172,2023_01_ARI_WAS,1,WAS,C.Samuel,S.Howell,-0.5154515013564378
197,2023_01_ARI_WAS,1,WAS,L.Thomas,S.Howell,-0.8720054428558797
220,2023_01_ARI_WAS,1,WAS,C.Samuel,S.Howell,-1.4307185630314052
245,2023_01_ARI_WAS,1,WAS,NA,NA,-0.4158895907457918
276,2023_01_ARI_WAS,2,ARI,NA,NA,-0.8774849488399923
310,2023_01_ARI_WAS,2,ARI,NA,NA,-0.06943378178402781
332,2023_01_ARI_WAS,2,ARI,Z.Ertz,J.Dobbs,1.6487792921252549
357,2023_01_ARI_WAS,2,ARI,Z.Pascal,J.Dobbs,-0.5793663724325597
380,2023_01_ARI_WAS,2,ARI,Z.Ertz,J.Dobbs,-1.2155810273252428
405,2023_01_ARI_WAS,2,ARI,NA,NA,-0.5857852762565017
427,2023_01_ARI_WAS,2,ARI,NA,NA,1.0755297706928104
469,2023_01_ARI_WAS,3,WAS,NA,S.Howell,0.7672014681156725
526,2023_01_ARI_WAS,3,WAS,L.Thomas,S.Howell,0.484836682677269
558,2023_01_ARI_WAS,3,WAS,NA,NA,0.04307270888239145
580,2023_01_ARI_WAS,3,WAS,J.Dotson,S.Howell,1.4094757207203656
621,2023_01_ARI_WAS,3,WAS,NA,NA,-0.7782078732270747
643,2023_01_ARI_WAS,3,WAS,T.McLaurin,S.Howell,2.9620817651739344
677,2023_01_ARI_WAS,3,WAS,NA,NA,0.1888738968409598
699,2023_01_ARI_WAS,3,WAS,B.Robinson,S.Howell,1.590676628635265
725,2023_01_ARI_WAS,3,WAS,NA,NA,0.067573003107633145
740,2023_01_ARI_WAS,4,ARI,NA,NA,-0
763,2023_01_ARI_WAS,4,ARI,NA,NA,-0.04210312245413661
790,2023_01_ARI_WAS,4,ARI,NA,NA,2.1730704207438976
812,2023_01_ARI_WAS,4,ARI,J.Conner,J.Dobbs,-0.9259539851918817
842,2023_01_ARI_WAS,4,ARI,R.Moore,J.Dobbs,2.8097017878317274
883,2023_01_ARI_WAS,4,ARI,Z.Ertz,J.Dobbs,-0.4726978610851802
913,2023_01_ARI_WAS,4,ARI,NA,NA,-0.7474381260108203
935,2023_01_ARI_WAS,4,ARI,Z.Ertz,J.Dobbs,-0.7957736325307181
958,2023_01_ARI_WAS,4,ARI,NA,NA,0.12572834844201708
987,2023_01_ARI_WAS,5,WAS,NA,NA,0
1010,2023_01_ARI_WAS,5,WAS,NA,S.Howell,-1.0539709976874292
1045,2023_01_ARI_WAS,5,WAS,L.Thomas,S.Howell,-0.8771897563710809
1081,2023_01_ARI_WAS,5,WAS,NA,NA,0
1106,2023_01_ARI_WAS,5,WAS,L.Thomas,S.Howell,2.121120393741876
1140,2023_01_ARI_WAS,5,WAS,J.Dotson,S.Howell,-4.9043577294796705
