X,Y,objectid
-73.86942457284175,40.74915687096787,1
-73.89507143240856,40.74646547081214,1
-73.89618737867819,40.74850942518086,1
-73.89583954185139,40.748546875706005,1
-73.89525242774396,40.74830660945023,1
-73.89654041085561,40.750541998143575,1
-73.89579868613828,40.750619721332605,1
-73.89652230661433,40.75438879610902,1
-73.87221855882477,40.756943248067465,1
-73.87167992356791,40.75398717439602,1
-73.87207046513889,40.75386200705204,1
-73.86942457284175,40.74915687096787,1
-73.71068374074007,40.75004039450917,2
-73.70869392379947,40.74875836557175,2
-73.70713084684175,40.749582740537946,2
-73.70419967936361,40.75016955256976,2
-73.7021852869823,40.74474188775384,2
-73.70308721830735,40.74454725735512,2
-73.70098278625547,40.73889569923034,2
-73.71371033246908,40.736174704865455,2
-73.71567895968894,40.73962914915626,2
-73.71867075939582,40.74631499057428,2
-73.71966142935703,40.748945236431474,2
-73.72082889049311,40.751173028173014,2
-73.72117809110456,40.75232189224561,2
-73.72250622247415,40.753358470814895,2
-73.72270447144122,40.75373371438336,2
-73.72183610276068,40.75486513130315,2
-73.72109289651769,40.7562813418113,2
-73.71775341502477,40.75534755942338,2
-73.71730957335735,40.75595782995615,2
-73.71534601002345,40.75550893330126,2
-73.71553103019596,40.75506458072391,2
-73.71541781535772,40.7549984440815,2
-73.71509806179287,40.75181177075926,2
-73.71132911125308,40.74947450816085,2
-73.71068374074007,40.75004039450917,2
-73.70098278625547,40.73889569923034,3
-73.70308721830735,40.74454725735512,3
-73.7021852869823,40.74474188775384,3
-73.70419967936361,40.75016955256976,3
-73.70713084684175,40.749582740537946,3
-73.70869392379947,40.74875836557175,3
-73.71068374074007,40.75004039450917,3
-73.70749973637017,40.752691975668995,3
-73.70477547538239,40.755270233046005,3
-73.70093102990265,40.752817486343396,3
-73.69974445953216,40.74239262246761,3
-73.6996045181533,40.739594699565956,3
-73.70098278625547,40.73889569923034,3
-73.72270447144122,40.75373371438336,4
-73.72250622247415,40.753358470814895,4
-73.72117809110456,40.75232189224561,4
-73.72082889049311,40.751173028173014,4
-73.71966142935703,40.748945236431474,4
-73.71867075939582,40.74631499057428,4
-73.71567895968894,40.73962914915626,4
-73.714741836008,40.73782936804115,4
-73.71147803740357,40.73250141963972,4
-73.7107482581903,40.73059313121937,4
-73.71050499970065,40.72736866972774,4
-73.70905586762616,40.72664415949807,4
-73.71570591094792,40.725801511420826,4
-73.71727651695193,40.7254628718624,4
-73.72620950410881,40.72309859227402,4
-73.72684845040733,40.72249645408755,4
-73.72761998125254,40.72225436873579,4
-73.72796736491678,40.723155272416086,4
-73.72816232599695,40.72308416455733,4
-73.72836413908203,40.72361437521388,4
-73.72990511102304,40.723272516554005,4
-73.73160708050406,40.72776903839352,4
-73.73072681361487,40.73026709420813,4
-73.732819249103,40.73041874553513,4
-73.73291096372743,40.73095235983029,4
-73.73193257090016,40.73092367158476,4
-73.73116645389476,40.73268134201055,4
-73.73544649938972,40.73346163008545,4
-73.73481044382278,40.73516320022872,4
-73.73452836532343,40.735443057983424,4
-73.7337729841358,40.73889930362767,4
-73.7356758191865,40.738128079721065,4
-73.74168681424477,40.73682340115314,4
-73.7391559027536,40.73977681751699,4
-73.73793557936861,40.74062167762755,4
-73.7337734219063,40.74286441525263,4
-73.73124540301161,40.744881626424565,4
-73.7300508313049,40.74620598219407,4
-73.72912929626756,40.7476056255959,4
-73.72827633138401,40.74991386618404,4
-73.72763949821193,40.75092126949652,4
-73.72690383377657,40.75167704941076,4
-73.7242148710979,40.75333168590093,4
-73.72304547223106,40.75429983888577,4
-73.72270447144122,40.75373371438336,4
-73.81088634744755,40.72717187575918,5
-73.81115638093544,40.7283054434788,5
-73.81087857737191,40.73044076111908,5
-73.81039283603155,40.73832811256814,5
-73.81497231430079,40.73857247354962,5
-73.8150962962076,40.739233762735516,5
-73.81320839394928,40.738986680797105,5
-73.81035511920078,40.738871386398905,5
-73.81013261190412,40.74229508206978,5
-73.81430884374046,40.7429737987062,5
-73.81389548566275,40.74418396197773,5
-73.8136736120338,40.745555884799515,5
-73.81416170432934,40.7461386017966,5
-73.80750598164491,40.75013661137004,5
-73.80287800596291,40.74978342309386,5
