make,city_mpg,highway_mpg
GMC,15,19
Dodge,26,29
Volkswagen,15,17
GMC,14,17
GMC,13,18
GMC,13,17
GMC,12,17
GMC,12,16
GMC,15,20
GMC,14,20
GMC,15,19
GMC,13,17
GMC,13,17
Volkswagen,16,18
GMC,13,17
GMC,12,17
GMC,11,16
Mazda,18,23
Mazda,18,24
Mazda,18,24
Mazda,21,24
Mazda,17,22
Mazda,17,22
Toyota,19,23
AM General,16,17
Toyota,20,26
Toyota,16,21
Toyota,15,19
Toyota,15,20
Chevrolet,14,17
Chevrolet,14,17
Chevrolet,14,18
Chevrolet,12,17
Chevrolet,12,16
Chevrolet,11,16
AM General,13,13
Chevrolet,11,16
Chevrolet,11,14
Chevrolet,15,20
Chevrolet,14,17
Chevrolet,13,17
Chevrolet,14,17
Chevrolet,12,17
Chevrolet,12,16
Chevrolet,11,16
Chevrolet,11,16
Chevrolet,12,16
Chevrolet,11,14
Chevrolet,15,20
Chevrolet,15,19
Chevrolet,15,20
Nissan,16,20
Nissan,14,17
Nissan,14,18
Dodge,13,17
Dodge,14,18
Dodge,11,16
Chevrolet,11,16
Dodge,16,19
Dodge,17,20
Dodge,12,16
Dodge,11,16
Dodge,11,15
Dodge,12,15
Dodge,10,14
Dodge,10,13
Dodge,11,15
Dodge,12,15
Chevrolet,15,22
Dodge,10,14
Dodge,10,13
Jeep,18,21
Jeep,17,21
Jeep,14,19
Jeep,15,20
Ford,13,17
Ford,14,16
Ford,14,17
Ford,12,17
Chevrolet,18,24
Ford,12,17
Ford,12,15
Ford,12,16
Ford,11,15
Ford,19,24
Ford,16,20
Ford,16,22
Ford,15,20
Ford,16,21
GMC,14,17
Chevrolet,19,24
GMC,14,17
GMC,14,18
GMC,12,17
GMC,12,16
GMC,11,16
GMC,11,16
GMC,11,14
GMC,15,20
GMC,14,17
GMC,13,17
Chevrolet,19,26
GMC,14,17
GMC,12,17
GMC,11,16
GMC,11,16
GMC,11,16
GMC,11,14
GMC,15,20
GMC,15,20
GMC,15,19
GMC,15,20
Dodge,31,37
Chevrolet,15,23
Isuzu,15,19
Isuzu,14,17
Mitsubishi,16,19
Mitsubishi,17,20
Mitsubishi,15,20
Mazda,15,19
Mazda,16,19
Toyota,16,18
Toyota,17,20
Toyota,12,16
Chevrolet,16,23
Toyota,13,16
Toyota,14,17
Chevrolet,14,20
Chevrolet,15,21
Chevrolet,15,20
Chevrolet,15,20
Chevrolet,13,17
Chevrolet,13,17
Chevrolet,15,20
Chevrolet,13,18
Chevrolet,15,22
Dodge,13,16
Dodge,14,16
Dodge,12,17
Dodge,11,13
Dodge,11,16
Dodge,11,15
Dodge,14,16
Dodge,11,16
Dodge,11,14
Ford,16,22
Dodge,11,12
Ford,17,23
Ford,15,20
Ford,15,20
Ford,13,15
Ford,13,17
Ford,12,17
Ford,12,17
Ford,11,15
Ford,12,14
Ford,12,17
Dodge,11,13
Ford,10,14
GMC,15,20
GMC,13,17
GMC,13,17
GMC,15,20
GMC,13,18
GMC,14,20
GMC,15,21
GMC,15,20
Chevrolet,14,18
Dodge,12,15
Chevrolet,14,19
Chevrolet,15,20
Chevrolet,14,17
Chevrolet,12,16
Chevrolet,11,16
Chevrolet,11,16
Dodge,12,16
Dodge,13,16
Dodge,12,17
Dodge,11,13
Dodge,10,12
Dodge,11,16
Dodge,11,14
Dodge,11,14
Dodge,10,13
Ford,15,21
Ford,15,22
Ford,15,20
Ford,14,18
Ford,12,17
Ford,12,16
Dodge,16,19
Ford,11,15
Ford,10,14
GMC,14,17
GMC,12,16
GMC,11,16
GMC,11,16
GMC,14,18
GMC,14,19
GMC,15,20
Toyota,15,20
Dodge,17,20
Toyota,16,20
Toyota,15,19
Volkswagen,15,18
Volkswagen,15,20
Chevrolet,16,21
Chevrolet,15,23
Chevrolet,11,16
Chevrolet,15,22
Chevrolet,16,22
Nissan,15,19
Dodge,21,26
Nissan,14,17
Nissan,16,21
Chrysler,16,22
Dodge,18,24
Dodge,18,28
Dodge,17,22
Dodge,16,22
Dodge,18,24
Dodge,18,28
Dodge,17,22
Dodge,27,35
Dodge,21,26
Dodge,16,22
Dodge,11,16
Dodge,11,15
Jeep,18,22
Jeep,14,19
Jeep,15,20
Ford,15,20
Ford,16,22
Mercury,16,21
Mercury,16,21
Dodge,18,25
Geo,20,22
Geo,22,24
GMC,11,16
GMC,15,22
GMC,16,22
Isuzu,16,19
Isuzu,15,19
Isuzu,15,19
Isuzu,16,20
Mazda,16,22
Dodge,18,25
Mazda,15,20
Pontiac,16,21
Pontiac,15,23
Plymouth,18,24
Plymouth,18,28
Plymouth,17,22
Plymouth,16,22
Suzuki,24,26
Suzuki,21,24
Suzuki,20,24
Dodge,16,20
Suzuki,20,22
Suzuki,22,24
Oldsmobile,16,21
Oldsmobile,15,23
Toyota,15,19
Chevrolet,11,15
Chevrolet,11,16
Chevrolet,11,15
Chevrolet,15,20
Chevrolet,15,20
"E. P. Dutton, Inc.",15,21
Nissan,14,17
Nissan,14,17
Chrysler,15,20
Dodge,15,20
Dodge,11,15
Dodge,10,14
Jeep,17,20
Jeep,14,18
Jeep,15,18
Jeep,13,19
GMC,12,16
Jeep,13,19
Jeep,15,20
Jeep,15,20
Jeep,12,17
Jeep,16,19
Jeep,14,15
Jeep,15,18
Ford,12,17
Ford,12,16
Ford,11,15
GMC,11,16
Ford,14,18
Ford,15,20
Geo,20,22
Geo,22,24
Geo,20,22
Geo,22,24
GMC,15,20
GMC,15,20
GMC,11,15
GMC,11,15
GMC,15,22
GMC,11,16
Isuzu,16,20
Isuzu,14,17
Isuzu,14,17
Isuzu,13,16
Isuzu,14,17
Land Rover,9,11
Land Rover,11,14
Land Rover,11,14
Mitsubishi,14,17
GMC,18,24
Mitsubishi,14,17
Mazda,14,17
Mazda,15,20
Mazda,16,21
Mazda,14,18
Mazda,16,21
"PAS, Inc",13,17
Plymouth,15,20
Subaru,19,22
Subaru,21,26
GMC,19,24
Subaru,19,20
Subaru,21,26
Suzuki,24,26
Suzuki,20,22
Suzuki,19,24
Suzuki,19,24
Suzuki,20,24
Suzuki,22,24
Suzuki,21,24
Suzuki,20,22
Dodge,21,24
GMC,19,26
Suzuki,22,24
Oldsmobile,14,20
Toyota,11,14
Toyota,16,18
Toyota,17,20
Toyota,12,15
Toyota,13,17
Cadillac,14,22
