id,GeoName,belief,perc
1129,"Washington County, Alabama",human,42.415
1131,"Wilcox County, Alabama",happening,60.71
1131,"Wilcox County, Alabama",human,45.864
1133,"Winston County, Alabama",happening,56.27
1133,"Winston County, Alabama",human,43.172
2013,"Aleutians East Borough, Alaska",happening,72.976
2013,"Aleutians East Borough, Alaska",human,59.286
2016,"Aleutians West Census Area, Alaska",happening,65.496
2016,"Aleutians West Census Area, Alaska",human,54.867
2020,"Anchorage Municipality, Alaska",happening,73.893
2020,"Anchorage Municipality, Alaska",human,56.833
2050,"Bethel Census Area, Alaska",happening,72.779
2050,"Bethel Census Area, Alaska",human,60.201
2060,"Bristol Bay Borough, Alaska",happening,67.768
2060,"Bristol Bay Borough, Alaska",human,54.594
2068,"Denali Borough, Alaska",happening,68.886
2068,"Denali Borough, Alaska",human,54.44
2070,"Dillingham Census Area, Alaska",happening,73.278
2070,"Dillingham Census Area, Alaska",human,59.152
2090,"Fairbanks North Star Borough, Alaska",happening,70.432
2090,"Fairbanks North Star Borough, Alaska",human,53.052
2100,"Haines Borough, Alaska",happening,70.092
2100,"Haines Borough, Alaska",human,54.759
2105,"Hoonah-Angoon Census Area, Alaska",happening,68.931
2105,"Hoonah-Angoon Census Area, Alaska",human,57.898
2110,"Juneau City and Borough, Alaska",happening,73.687
2110,"Juneau City and Borough, Alaska",human,58.54
2122,"Kenai Peninsula Borough, Alaska",happening,70.924
2122,"Kenai Peninsula Borough, Alaska",human,54.804
2130,"Ketchikan Gateway Borough, Alaska",happening,73.985
2130,"Ketchikan Gateway Borough, Alaska",human,58.668
2150,"Kodiak Island Borough, Alaska",happening,74.124
2150,"Kodiak Island Borough, Alaska",human,58.571
2158,"Kusilvak Census Area, Alaska",happening,72.315
2158,"Kusilvak Census Area, Alaska",human,60.146
2164,"Lake and Peninsula Borough, Alaska",happening,72.275
2164,"Lake and Peninsula Borough, Alaska",human,58.358
2170,"Matanuska-Susitna Borough, Alaska",happening,69.593
2170,"Matanuska-Susitna Borough, Alaska",human,54.135
2180,"Nome Census Area, Alaska",happening,73.241
2180,"Nome Census Area, Alaska",human,59.212
2185,"North Slope Borough, Alaska",happening,73.964
2185,"North Slope Borough, Alaska",human,61.296
2188,"Northwest Arctic Borough, Alaska",happening,72.756
2188,"Northwest Arctic Borough, Alaska",human,59.14
2195,"Petersburg Borough, Alaska",happening,73.729
2195,"Petersburg Borough, Alaska",human,57.806
2198,"Prince of Wales-Hyder Census Area, Alaska",happening,72.566
2198,"Prince of Wales-Hyder Census Area, Alaska",human,58.289
2220,"Sitka City and Borough, Alaska",happening,76.358
2220,"Sitka City and Borough, Alaska",human,61.572
2230,"Skagway Municipality, Alaska",happening,66.582
2230,"Skagway Municipality, Alaska",human,55.671
2240,"Southeast Fairbanks Census Area, Alaska",happening,71.087
2240,"Southeast Fairbanks Census Area, Alaska",human,54.771
2261,"Valdez-Cordova Census Area, Alaska",happening,72.075
2261,"Valdez-Cordova Census Area, Alaska",human,56.608
2275,"Wrangell City and Borough, Alaska",happening,72.722
2275,"Wrangell City and Borough, Alaska",human,57.361
2282,"Yakutat City and Borough, Alaska",happening,72.953
2282,"Yakutat City and Borough, Alaska",human,57.799
2290,"Yukon-Koyukuk Census Area, Alaska",happening,71.448
2290,"Yukon-Koyukuk Census Area, Alaska",human,59.874
4001,"Apache County, Arizona",happening,66.973
4001,"Apache County, Arizona",human,55.91
4003,"Cochise County, Arizona",happening,66.492
4003,"Cochise County, Arizona",human,51.572
4005,"Coconino County, Arizona",happening,73.432
4005,"Coconino County, Arizona",human,58.967
4007,"Gila County, Arizona",happening,66.244
4007,"Gila County, Arizona",human,49.223
4009,"Graham County, Arizona",happening,66.526
4009,"Graham County, Arizona",human,49.511
4011,"Greenlee County, Arizona",happening,66.392
4011,"Greenlee County, Arizona",human,50.73
4012,"La Paz County, Arizona",happening,66.873
4012,"La Paz County, Arizona",human,51.132
