FIPS,year,county_name,pincp,c02_055,c02_056,c02_057,c02_058,c04_055,c04_056,c04_057,c04_058,c06_055,c06_056,c06_057,c06_058,c01_001,c01_002,c01_003,c01_004,c01_005,c01_006,c01_007,c01_008,c01_009,c01_010,c01_011,c01_012,c01_013,c01_014,c01_015,c01_016,c01_017,c01_018,c01_019,c01_020,c01_021,c01_022,c01_023,c01_024,c01_025,c01_026,c01_027,c01_028,c01_029,c01_030,c01_031,c01_032,c01_033,c01_034,c01_035,c01_036,c01_037,c01_038,c01_039,c01_040,c01_041,c01_042,c01_043,c01_044,c01_045,c01_046,c01_047,c01_048,c01_049,c01_050,c01_051,c01_052,c01_053,c01_054,c03_001,c03_002,c03_003,c03_004,c03_005,c03_006,c03_007,c03_008,c03_009,c03_010,c03_011,c03_012,c03_013,c03_014,c03_015,c03_016,c03_017,c03_018,c03_019,c03_020,c03_021,c03_022,c03_023,c03_024,c03_025,c03_026,c03_027,c03_028,c03_029,c03_030,c03_031,c03_032,c03_033,c03_034,c03_035,c03_036,c03_037,c03_038,c03_039,c03_040,c03_041,c03_042,c03_043,c03_044,c03_045,c03_046,c03_047,c03_048,c03_049,c03_050,c03_051,c03_052,c03_053,c03_054,c05_001,c05_002,c05_003,c05_004,c05_005,c05_006,c05_007,c05_008,c05_009,c05_010,c05_011,c05_012,c05_013,c05_014,c05_015,c05_016,c05_017,c05_018,c05_019,c05_020,c05_021,c05_022,c05_023,c05_024,c05_025,c05_026,c05_027,c05_028,c05_029,c05_030,c05_031,c05_032,c05_033,c05_034,c05_035,c05_036,c05_037,c05_038,c05_039,c05_040,c05_041,c05_042,c05_043,c05_044,c05_045,c05_046,c05_047,c05_048,c05_049,c05_050,c05_051,c05_052,c05_053,c05_054
36005,2015,Bronx,33162,40.2,25.5,19.7,10.4,32.3,20.1,15.2,9.300000000000001,46.5,30.5,23.2,11.2,165551,40047,43773,70508,11223,895181,134663,128441,244763,156301,61591,110355,59067,,,216168,169310,49360,184597,137451,38114,336421,237685,60802,157995,87631,21146,212363,156627,52230,108860,91281,38234,303573,238137,62281,4800,3222,642,35642,26870,12889,369,307,36,311654,187538,35816,26780,19376,5528,462073,285214,57869,83888,22578,24690,32620,4000,400937,59397,59831,118460,71125,24290,45221,22613,,,102783,78582,18657,84805,61836,14615,152646,107077,25656,60703,34214,8906,98229,73013,23345,51817,43722,18089,132105,102558,22650,2324,,329,16738,13148,6422,160,143,31,139851,82989,13089,11530,8300,1968,205973,125623,20881,81663,17469,19083,37888,7223,494244,75266,68610,126303,85176,37301,65134,36454,(X),(X),113385,90728,30703,99792,75615,23499,183775,130608,35146,97292,53417,12240,114134,83614,28885,57043,47559,20145,171468,135579,39631,2476,1664,313,18904,13722,6467,209,164,5,171803,104549,22727,15250,11076,3560,256100,159591,36988
36005,2016,Bronx,33794,40.2,25.2,19.8,10.3,32.7,19.8,15.4,9.4,46.3,30.3,23.2,10.9,164203,38206,43061,71307,11629,905151,132714,128308,248174,160152,62634,113265,59904,,,221024,175501,51359,183782,137257,38498,338422,241000,61480,161923,90371,21832,210985,156676,52254,104576,88174,37536,306252,241191,63384,5306,3495,619,36059,27755,13232,453,422,72,319063,194845,37792,27033,19745,5816,473422,297186,61137,82974,21554,24045,33254,4121,406225,59206,59884,119858,73151,25058,46048,23020,,,105746,82014,19298,84394,61885,14979,153561,108495,25679,62524,34741,9112,98067,73070,23262,49635,42165,17638,133632,103802,22595,2642,,276,16915,13627,6777,186,164,31,143242,86292,13922,11541,8525,2205,211578,130859,22193,81229,16652,19016,38053,7508,498926,73508,68424,128316,87001,37576,67217,36884,(X),(X),115278,93487,32061,99388,75372,23519,184861,132505,35801,99399,55630,12720,112918,83606,28992,54941,46009,19898,172620,137389,40789,2664,1840,343,19144,14128,6455,267,258,41,175821,108553,23870,15492,11220,3611,261844,166327,38944
36005,2017,Bronx,36140,39.5,24.6,19.5,10.3,32.5,19.3,15.1,9.1,45.2,29.6,22.9,11,161311,36351,42371,70140,12449,927374,134691,129618,256066,162270,65180,115670,63879,,,228343,183257,53479,184809,137674,38416,342945,245717,63598,171277,96417,24056,219032,162874,54968,104820,88736,38708,316724,249954,66451,6004,4105,870,37193,28351,13247,620,536,143,321128,197335,37914,26673,19910,5956,488660,309618,64402,81424,20827,23048,33210,4339,417152,59863,60632,125221,74051,25895,46786,24704,,,109724,85924,20204,85002,62334,15083,155913,110974,26169,66513,37425,10034,102676,76651,24685,49861,42358,18236,138856,107806,23510,3076,,355,17447,14106,6840,210,186,63,143613,87158,13829,11274,8663,2208,218777,137300,23373,79887,15524,19323,36930,8110,510222,74828,68986,130845,88219,39285,68884,39175,(X),(X),118619,97333,33275,99807,75340,23333,187032,134743,37429,104764,58992,14022,116356,86223,30283,54959,46378,20472,177868,142148,42941,2928,2018,515,19746,14245,6407,410,350,80,177515,110177,24085,15399,11247,3748,269883,172318,41029
36005,2018,Bronx,37459,39,24.4,18.9,10.4,32,19.3,14.6,9.9,44.6,29.5,22.2,10.7,152655,33689,41612,65085,12269,924137,131141,127815,255427,159430,67190,118587,64547,665181,183134,227012,183727,54446,181911,136399,38652,340744,244696,63566,174470,100359,26470,218498,164533,56953,101874,88077,39540,319144,253139,67807,6328,4140,795,37100,28220,14172,772,654,219,313997,193616,36516,28298,20879,6672,489786,312469,65307,76828,19149,22123,30996,4560,416448,58101,59511,125955,72239,27004,48693,24945,,,109408,86639,20525,83953,62237,15665,155035,110717,26182,68052,39243,11266,102192,77538,25794,48506,42223,18768,140801,110182,24035,3355,,354,17278,13892,7138,303,283,99,140266,85430,13846,12253,9278,2372,219542,138939,24379,75827,14540,19489,34089,7709,507689,73040,68304,129472,87191,40186,69894,39602,(X),(X),117604,97088,33921,97958,74162,22987,185709,133979,37384,106418,61116,15204,116306,86995,31159,53368,45854,20772,178343,142957,43772,2973,1907,441,19822,14328,7034,469,371,120,173731,108186,22670,16045,11601,4300,270244,173530,40928
36005,2019,Bronx,39711,38,24,18.8,9.9,31.2,18.6,14.4,9.300000000000001,43.5,29.4,22.2,10.3,147118,30357,39794,63967,13000,929546,124987,128262,259572,161707,68468,120021,66529,676297,186550,228450,187084,55808,181385,137040,39268,340050,246956,63139,179661,105217,28335,223279,168279,57836,99556,85956,39081,329848,261528,68905,6592,4272,738,37650,28649,14340,922,766,373,300339,189796,36772,30916,23007,7586,495442,323186,68952,74050,17443,21476,30526,4605,419713,55355,59335,129378,72997,27221,49966,25461,305023,75427,110512,89245,21562,83882,62535,16123,154910,112180,25835,70409,41063,11907,104763,79450,26240,47555,41106,18640,145474,114540,24697,3418,,282,17606,14160,7035,261,225,125,134489,83908,14267,13702,10462,2781,222466,144508,26066,73068,12914,18318,33441,8395,509833,69632,68927,130194,88710,41247,70055,41068,,,117938,97839,34246,97503,74505,23145,185140,134776,37304,109252,64154,16428,118516,88829,31596,52001,44850,20441,184374,146988,44208,3174,1994,456,20044,14489,7305,661,541,248,165850,105888,22505,17214,12545,4805,272976,178678,42886
36007,2015,Broome,39980,30.8,15.2,11.5,5.7,26.5,13.8,10.1,5,34.7,16.5,12.6,6.3,27733,2681,6773,15056,3223,131269,3632,9685,42294,23921,16036,19675,16026,,,22422,20650,7913,20505,18814,5871,54143,49489,14862,34199,28999,7055,119600,108570,32473,117963,107142,32047,5485,4374,835,318,203,51,3530,2972,1908,67,67,11,940,657,167,1329,1109,256,3107,2433,667,14352,1615,3744,7673,1320,62863,1569,4621,21089,11455,7053,9538,7538,,,11532,10600,3660,10107,9313,2504,26702,24267,7171,14522,12493,3741,57010,51846,15522,56160,51072,15339,2883,2331,398,123,,9,1713,1464,922,33,33,6,410,301,71,691,619,148,1543,1265,308,13381,1066,3029,7383,1903,68406,2063,5064,21205,12466,8983,10137,8488,(X),(X),10890,10050,4253,10398,9501,3367,27441,25222,7691,19677,16506,3314,62590,56724,16951,61803,56070,16708,2602,2043,437,195,124,42,1817,1508,986,34,34,5,530,356,96,638,490,108,1564,1168,359
36007,2016,Broome,40696,32,14.7,11.2,5.6,28.3,13.5,8.5,5.3,35.2,16,13.4,5.9,27999,2216,7006,15224,3553,130537,3454,9334,41580,23777,16158,20084,16150,,,22082,20233,7590,20168,18537,5936,53575,48997,15058,34712,29982,7650,118512,108210,32893,116988,106926,32474,5632,4473,919,271,186,35,3472,2905,1896,59,59,9,1044,644,142,1547,1272,340,3221,2434,697,14386,1353,3868,7571,1594,62554,1532,4402,20902,11323,6878,9955,7562,,,11359,10487,3552,9922,9066,2574,26458,24060,7303,14815,13007,4088,56601,51826,15887,55775,51131,15704,2892,2309,515,92,,4,1639,1380,878,22,22,5,468,292,61,840,729,167,1601,1234,335,13613,863,3138,7653,1959,67983,1922,4932,20678,12454,9280,10129,8588,(X),(X),10723,9746,4038,10246,9471,3362,27117,24937,7755,19897,16975,3562,61911,56384,17006,61213,55795,16770,2740,2164,404,179,124,31,1833,1525,1018,37,37,4,576,352,81,707,543,173,1620,1200,362
36007,2017,Broome,43055,34.2,14.4,11.1,5.5,31.3,13,8.699999999999999,4.8,36.8,15.8,13,6.2,27828,2694,6977,14368,3789,129802,3497,8932,40700,23958,16307,20371,16037,,,21958,20059,7753,20007,18468,6003,52743,47985,14743,35094,30861,7909,117515,107438,32994,115826,106065,32442,5819,4802,1002,282,212,38,3663,3038,1920,41,41,11,961,569,140,1521,1273,303,3332,2510,849,14320,1469,3767,7227,1857,62154,1633,4142,20258,11498,6921,10134,7568,,,11306,10466,3633,9827,9008,2691,26023,23569,7076,14998,13336,4302,56152,51405,16018,55239,50730,15808,2923,2458,574,87,,0,1735,1463,915,36,36,6,432,287,63,789,663,126,1664,1233,386,13508,1225,3210,7141,1932,67648,1864,4790,20442,12460,9386,10237,8469,(X),(X),10652,9593,4120,10180,9460,3312,26720,24416,7667,20096,17525,3607,61363,56033,16976,60587,55335,16634,2896,2344,428,195,145,38,1928,1575,1005,5,5,5,529,282,77,732,610,177,1668,1277,463
36007,2018,Broome,44332,34.3,14.4,11,5.7,30.8,12.8,8.800000000000001,5.1,37.6,16,12.9,6.2,27491,2568,6975,14054,3894,128950,3520,8793,40079,23493,16591,20188,16286,116637,36474,21714,19786,7792,19835,18424,6082,51780,46974,14311,35621,31453,8289,116615,106669,32919,114711,105120,32180,5902,4786,1068,303,284,83,3628,2997,1937,60,60,13,942,602,128,1500,1239,326,3458,2686,1048,14133,1331,3733,7295,1774,61840,1691,4254,19783,11178,7180,10187,7567,,,11136,10257,3745,9744,8918,2657,25611,23140,6876,15349,13580,4476,55770,50959,15923,54750,50204,15656,2964,2407,582,152,,8,1724,1451,1028,54,54,7,403,252,63,773,620,143,1742,1292,467,13358,1237,3242,6759,2120,67110,1829,4539,20296,12315,9411,10001,8719,(X),(X),10578,9529,4047,10091,9506,3425,26169,23834,7435,20272,17873,3813,60845,55710,16996,59961,54916,16524,2938,2379,486,151,132,75,1904,1546,909,6,6,6,539,350,65,727,619,183,1716,1394,581
36007,2019,Broome,46361,33.5,14.8,11,5.6,31.8,13.1,8.4,5.4,35.2,16.4,13.2,5.8,27496,2329,7413,13853,3901,128064,3490,8437,40302,22869,16621,19781,16564,116137,36345,21504,19834,7737,19807,18132,6082,50646,45778,13911,36107,32393,8615,115358,105866,32967,113480,104344,32270,6012,4954,1052,250,206,53,3684,2881,1773,46,46,16,1025,695,185,1689,1489,299,3570,2814,1027,14161,1219,3975,6932,2035,61426,1677,4253,19412,11007,7241,10237,7599,55496,17836,11060,10272,3879,9709,8698,2663,25029,22462,6566,15628,14064,4728,55094,50364,16052,54168,49695,15818,3064,2543,602,130,,11,1750,1379,955,37,37,7,535,382,91,816,677,118,1798,1353,422,13335,1110,3438,6921,1866,66638,1813,4184,20890,11862,9380,9544,8965,,,10444,9562,3858,10098,9434,3419,25617,23316,7345,20479,18329,3887,60264,55502,16915,59312,54649,16452,2948,2411,450,120,92,42,1934,1502,818,9,9,9,490,313,94,873,812,181,1772,1461,605
