yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,X2B,X3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,TB,WinPct,rpg,hrpg,tbpg,kpg,k2bb,whip
2009,NL,MIL,MIL,C,3,162,81,80,82,N,N,N,N,785,5510,1447,281,37,182,610,1231,68,37,71,47,818,770,4.83,1,8,44,4305,1498,207,607,1104,98,149,0.984,Milwaukee Brewers,Miller Park,3037451,98,98,MIL,ML4,MIL,2348,0.49382716049382713,4.845679012345679,1.123456790123457,14.493827160493828,7.598765432098766,2.018032786885246,1.4334494773519164
2009,AL,MIN,MIN,C,1,163,82,87,76,Y,N,N,N,817,5608,1539,271,40,172,585,1021,85,32,45,57,765,726,4.5,4,7,48,4359,1542,185,466,1052,76,135,0.987,Minnesota Twins,Hubert H Humphrey Metrodome,2416237,99,98,MIN,MIN,MIN,2406,0.5337423312883436,5.012269938650307,1.0552147239263805,14.760736196319018,6.263803680981595,1.745299145299145,1.4618031658637305
2009,AL,NYA,NYY,E,1,162,81,103,59,Y,N,Y,Y,915,5660,1604,325,21,244,663,1014,111,28,54,39,753,687,4.26,3,8,51,4350,1386,181,574,1260,86,131,0.985,New York Yankees,Yankee Stadium III,3719358,105,103,NYY,NYA,NYA,2703,0.6358024691358025,5.648148148148148,1.5061728395061729,16.685185185185187,6.2592592592592595,1.5294117647058822,1.563448275862069
2009,NL,NYN,NYM,E,4,162,81,70,92,N,N,N,N,671,5453,1472,295,49,95,526,928,122,44,36,55,757,705,4.45,3,12,39,4278,1452,158,616,1031,97,134,0.984,New York Mets,Citi Field,3168571,97,97,NYM,NYN,NYN,2150,0.43209876543209874,4.1419753086419755,0.5864197530864198,13.271604938271604,5.728395061728395,1.7642585551330798,1.4011220196353436
2009,AL,OAK,OAK,W,4,162,81,75,87,N,N,N,N,759,5584,1464,307,21,135,527,1046,133,48,50,54,761,685,4.26,2,10,38,4342,1486,156,523,1124,105,155,0.983,Oakland Athletics,Oakland-Alameda County Coliseum,1408783,99,99,OAK,OAK,OAK,2218,0.46296296296296297,4.685185185185185,0.8333333333333334,13.691358024691358,6.45679012345679,1.984819734345351,1.375633348687241
2009,NL,PHI,PHI,E,1,162,81,93,69,Y,N,Y,N,820,5578,1439,312,35,224,589,1155,119,28,71,45,709,673,4.16,8,9,44,4367,1479,189,489,1153,76,132,0.987,Philadelphia Phillies,Citizens Bank Park,3600693,101,100,PHI,PHI,PHI,2493,0.5740740740740741,5.061728395061729,1.382716049382716,15.38888888888889,7.12962962962963,1.9609507640067911,1.3931760934279829
2009,NL,PIT,PIT,C,6,161,81,62,99,N,N,N,N,636,5417,1364,289,34,125,499,1142,90,32,46,36,768,723,4.59,5,7,28,4255,1491,152,563,919,73,171,0.988,Pittsburgh Pirates,PNC Park,1577853,98,99,PIT,PIT,PIT,2096,0.38509316770186336,3.950310559006211,0.7763975155279503,13.01863354037267,7.093167701863354,2.288577154308617,1.3135135135135134
2009,NL,SDN,SDP,W,4,162,81,75,87,N,N,N,N,638,5425,1315,265,31,141,586,1182,82,29,57,36,769,704,4.37,2,9,45,4352,1422,167,603,1187,94,146,0.984,San Diego Padres,Petco Park,1919603,90,90,SDP,SDN,SDN,2065,0.46296296296296297,3.938271604938272,0.8703703703703703,12.746913580246911,7.296296296296297,2.0170648464163823,1.3104319852941178
2009,AL,SEA,SEA,W,3,162,81,85,77,N,N,N,N,640,5543,1430,280,19,160,421,1093,89,33,49,44,692,625,3.87,4,10,49,4358,1359,172,534,1043,105,150,0.982,Seattle Mariners,Safeco Field,2195533,94,96,SEA,SEA,SEA,2228,0.5246913580246914,3.950617283950617,0.9876543209876544,13.753086419753089,6.746913580246914,2.5961995249406176,1.2742083524552548
2009,NL,SFN,SFG,W,3,162,81,88,74,N,N,N,N,657,5493,1411,275,43,122,392,1158,78,28,50,55,611,571,3.55,11,18,41,4338,1268,140,584,1302,88,138,0.985,San Francisco Giants,AT&T Park,2862110,102,102,SFG,SFN,SFN,2138,0.5432098765432098,4.055555555555555,0.7530864197530864,13.197530864197532,7.148148148148148,2.954081632653061,1.2468879668049793
