tconst,title_type,primary_title,simple_title,year,runtime_minutes,average_rating,num_votes
tt0762148,video,Christmas Is Here Again,christmas is here again,2007,74,5.1,369
tt0765507,video,The First Christmas,the first christmas,2005,60,8.3,35
tt0766235,video,Disney Princess: A Christmas of Enchantment,disney princess a christmas of enchantment,2005,63,6.1,86
tt0766251,tvMovie,Tom's Christmas Tree,toms christmas tree,2006,26,9.2,34
tt0769527,video,Kathie Lee's Rock n' Tots Cafe: A Christmas 'Giff',kathie lees rock n tots cafe a christmas giff,1995,30,5.2,29
tt0770729,tvMovie,Chanukah Stories,chanukah stories,2005,30,8.4,81
tt0772176,movie,Christmas Story,christmas story,2007,83,7,4512
tt0783494,tvMovie,The Christmas Card,the christmas card,2006,84,6.9,4407
tt0788133,movie,Holiday Dreaming,holiday dreaming,2004,99,7.1,84
tt0791078,video,Hanukkah Tales and Tunes,hanukkah tales and tunes,1994,23,8.1,19
tt0791333,tvMovie,Saving the Christmas Goose,saving the christmas goose,2006,93,6.2,30
tt0800058,movie,Happy Holidays,happy holidays,2008,103,7,59
tt0800115,tvMovie,The Road to Christmas,the road to christmas,2006,88,6.3,1402
tt0807735,tvMovie,A Very Fairy Christmas,a very fairy christmas,2006,48,6.3,35
tt0810927,movie,The Crumbs - A Very Crumby Christmas,the crumbs  a very crumby christmas,2006,90,4.3,228
tt0814039,tvMovie,Cabbage Patch Kids: First Christmas,cabbage patch kids first christmas,1984,23,6.9,105
tt0816577,tvMovie,A Dad for Christmas,a dad for christmas,2006,90,6.6,484
tt0817495,tvMovie,Christmas,christmas,1996,60,6.2,10
tt0817520,tvMovie,Snowden's Christmas,snowdens christmas,1999,22,6.7,44
tt0824748,tvMovie,Christmas and the Civil War,christmas and the civil war,2006,NA,9.3,16
tt0826768,video,My Christmas Soldier,my christmas soldier,2006,35,8.4,83
tt0829117,tvMovie,Brian Setzer: Christmas Extravaganza,brian setzer christmas extravaganza,2005,NA,8.7,37
tt0837156,movie,Pee-wee's Big Holiday,peewees big holiday,2016,90,6.1,8952
tt0839760,tvMovie,Charlie and Lola Christmas Special,charlie and lola christmas special,2006,NA,7,16
tt0840303,tvMovie,Christmas Do-Over,christmas doover,2006,90,5.6,1383
tt0840350,video,My Little Pony: A Very Minty Christmas,my little pony a very minty christmas,2005,44,5,331
tt0841032,movie,The Perfect Holiday,the perfect holiday,2007,96,4.7,3260
tt0843992,tvMovie,Bachelors Walk Christmas Special,bachelors walk christmas special,2006,NA,6.6,39
tt0847537,video,The Wiggles: Wiggly Wiggly Christmas,the wiggles wiggly wiggly christmas,1997,41,7.7,50
tt0849446,video,Holiday Hypnosis,holiday hypnosis,2005,90,7.7,25
tt0849447,video,Holidaze: The Christmas That Almost Didn't Happen,holidaze the christmas that almost didnt happen,2006,61,4.5,186
tt0856282,movie,Inspector Tahar's Holiday,inspector tahars holiday,1972,110,8,159
tt0857219,tvMovie,The Great American Christmas,the great american christmas,2006,NA,7.7,17
tt0860458,movie,Rupert's Magic Christmas,ruperts magic christmas,2006,85,6.8,13
tt0860474,movie,Christmas Tree Upside Down,christmas tree upside down,2006,127,6.3,161
tt0871968,movie,Christmas on July 24th Avenue,christmas on july 24th avenue,2006,110,5.4,97
tt0872243,tvMovie,All She Wants for Christmas,all she wants for christmas,2006,91,4.8,766
tt0878836,tvMovie,What We Did on Our Holiday,what we did on our holiday,2006,93,8.2,76
tt0884775,tvMovie,Camp Christmas,camp christmas,1993,51,4.7,50
tt0884793,tvMovie,A Christmas Carol,a christmas carol,1982,75,6.5,235
tt0885415,movie,The Flight Before Christmas,the flight before christmas,2008,80,6.1,3738
tt0893404,tvMovie,Home by Christmas,home by christmas,2006,95,6.3,916
tt0896522,video,Bah Humduck!: A Looney Tunes Christmas,bah humduck a looney tunes christmas,2006,46,6.3,1348
tt0899195,tvMovie,The Making of 'the Nightmare Before Christmas',the making of the nightmare before christmas,1993,25,7.8,29
tt0900916,tvMovie,Christmas on Chestnut Street,christmas on chestnut street,2006,89,4.9,438
tt0902454,video,Ex-Mas Eve,exmas eve,2006,61,6.8,52
tt0906599,tvMovie,Holiday Wishes,holiday wishes,2006,90,5.2,383
tt0910885,movie,A Merry Friggin' Christmas,a merry friggin christmas,2014,88,5.1,7835
tt0913441,tvMovie,What Have You Done?: The Remaking of 'Black Christmas',what have you done the remaking of black christmas,2006,28,8,48
tt0918500,video,The Candy Maker's Christmas,the candy makers christmas,2006,NA,5.2,12
tt0918511,video,A Dennis the Menace Christmas,a dennis the menace christmas,2007,83,4.7,2176
tt0920465,video,The Night Before Christmas: A Mouse Tale,the night before christmas a mouse tale,2002,47,5.9,78
tt0920737,tvMovie,Laura's Christmas Star,lauras christmas star,2006,50,6.2,50
tt0920894,tvMovie,A Very Barry Christmas,a very barry christmas,2005,45,6.5,66
tt0927585,video,Barney's Holiday Extravaganza,barneys holiday extravaganza,2006,9,4.9,29
tt0927655,video,A Very Beazley Christmas,a very beazley christmas,2005,10,4.9,16
tt0928364,movie,Heber Holiday,heber holiday,2007,97,3.2,129
tt0934605,video,A Very Wompkee Christmas,a very wompkee christmas,2003,54,7.4,31
tt0936481,video,Quail's First Christmas,quails first christmas,2005,30,6.3,16
tt0937375,movie,This Christmas,this christmas,2007,119,6.3,10155
tt0938666,tvMovie,Holiday in Handcuffs,holiday in handcuffs,2006,86,6.1,7196
tt0939616,tvMovie,Grumpy Old Men at Christmas,grumpy old men at christmas,2003,60,6.9,26
tt0950740,tvMovie,A Grandpa for Christmas,a grandpa for christmas,2007,84,6.8,1285
tt0956328,tvMovie,Blinky Bill's White Christmas,blinky bills white christmas,2005,NA,6.7,36
tt0960708,video,The 12 Days of 'Black Christmas',the 12 days of black christmas,2006,20,7.1,43
tt0961738,movie,Messy Christmas,messy christmas,2007,96,6.1,524
tt0991150,movie,Christmas in Wonderland,christmas in wonderland,2006,95,4.7,2422
tt0992992,tvMovie,Lost Holiday: The Jim & Suzanne Shemwell Story,lost holiday the jim  suzanne shemwell story,2007,90,5.4,296
tt0993789,movie,A Christmas Tale,a christmas tale,2008,152,7,7458
tt0999872,movie,Thomas Kinkade's Christmas Cottage,thomas kinkades christmas cottage,2008,103,6.3,2776
tt10006006,movie,A Christmas Prince: The Royal Baby,a christmas prince the royal baby,2019,84,5.4,7622
tt10027488,video,The Nightmare Before Christmas in Concert at the Hollywood Bowl,the nightmare before christmas in concert at the hollywood bowl,2018,NA,8,29
tt10060094,movie,The Knight Before Christmas,the knight before christmas,2019,92,5.6,19715
tt10091530,movie,Holiday Rush,holiday rush,2019,92,5,3067
tt10118110,tvMovie,Christmas Wedding Runaway,christmas wedding runaway,2019,86,5.7,502
tt10136898,tvMovie,Christmas Wishes and Mistletoe Kisses,christmas wishes and mistletoe kisses,2019,84,6.5,1849
tt10149756,tvMovie,Matchmaker Christmas,matchmaker christmas,2019,90,6.1,647
tt10154790,tvMovie,Picture Perfect Royal Christmas,picture perfect royal christmas,2020,85,5.5,498
tt10156020,movie,Holiday Heist,holiday heist,2019,87,5.7,160
tt10157552,tvMovie,A Larceny Christmas,a larceny christmas,2019,90,6.7,297
tt1016032,tvMovie,The Ugly Duckling's Christmas Wish,the ugly ducklings christmas wish,1996,70,6.5,47
tt10161708,tvMovie,A Mermaid for Christmas,a mermaid for christmas,2019,88,6.6,77
tt10165624,movie,Christmas Coupon,christmas coupon,2019,92,3.3,249
tt10176734,tvMovie,A Storybook Christmas,a storybook christmas,2019,83,6.6,949
tt10177634,tvMovie,A Christmas Princess,a christmas princess,2019,90,5.5,858
tt10187208,movie,A Boy Called Christmas,a boy called christmas,2021,106,6.7,25274
tt1018930,video,A Sesame Street Christmas Carol,a sesame street christmas carol,2006,46,6.2,163
tt10203940,movie,Elfette Saves Christmas,elfette saves christmas,2019,103,3.3,160
tt1020940,movie,Between Christmas and New Year's,between christmas and new years,2000,86,5.8,10
tt1020981,tvMovie,O Christmas Tree,o christmas tree,1994,30,7.2,59
tt10210182,tvMovie,Christmas a la Mode,christmas a la mode,2019,87,6.4,1063
tt10220226,video,That '70s Show: Holiday Edition,that 70s show holiday edition,2011,220,8.4,130
tt1024657,video,May All Your Christmases Be Black,may all your christmases be black,2007,26,8,29
tt10272460,movie,"Infernal Guidon, or Cossack Christmas",infernal guidon or cossack christmas,2019,110,6.9,295
tt10277930,movie,Rifftrax: The Star Wars Holiday Special,rifftrax the star wars holiday special,2007,NA,6.1,94
tt1028555,video,The Making of Tim Burton's 'The Nightmare Before Christmas',the making of tim burtons the nightmare before christmas,1993,25,7.7,78
tt10295168,tvMovie,A Very Vintage Christmas,a very vintage christmas,2019,87,6.2,670
tt10309574,movie,A Christmas Winter Song,a christmas winter song,2019,90,6.6,475
tt10319778,movie,Homeless at Christmas,homeless at christmas,2018,86,7.9,10
tt10326928,video,A Cinderella Story: Christmas Wish,a cinderella story christmas wish,2019,85,5.3,7574
tt10328320,movie,The Christmas Project Reunion,the christmas project reunion,2020,87,4.7,182
tt10338176,movie,Christmas Time,christmas time,2023,95,5.7,97
tt10344956,tvMovie,Christmas in Rome,christmas in rome,2019,86,6.6,2442
tt10344986,tvMovie,Christmas Town,christmas town,2019,80,6.7,2121
tt10345008,tvMovie,Write Before Christmas,write before christmas,2019,84,6.9,3134
tt10383902,tvMovie,The Christmas Chalet,the christmas chalet,2019,90,6.6,955
tt10399114,movie,A Christmas Hero,a christmas hero,2020,85,4.3,328
tt10418044,tvMovie,Christmas by Design,christmas by design,2023,NA,5.6,25
tt1042326,video,"The Muppet Christmas Carol: Frogs, Pigs and Humbug - Unwrapping a New Holiday Classic",the muppet christmas carol frogs pigs and humbug  unwrapping a new holiday classic,2002,22,8,65
tt10433222,tvMovie,A Merry Christmas Match,a merry christmas match,2019,82,5.9,1369
tt10448992,movie,Roman Holiday,roman holiday,2017,NA,5.7,18
tt1046243,movie,It's Christmas,its christmas,2007,90,5,11
tt10471748,tvMovie,Random Acts of Christmas,random acts of christmas,2019,88,6.5,1106
tt10476682,movie,A Christmas Carol,a christmas carol,2019,75,5.1,118
tt10481792,tvMovie,Christmas with a Prince: Becoming Royal,christmas with a prince becoming royal,2019,93,5.8,658
tt10481868,movie,Black Christmas,black christmas,2019,92,3.5,18244
tt10482348,tvMovie,A Christmas Wish,a christmas wish,2019,90,6.3,1056
tt10504966,movie,I'll Be Home for Christmas,ill be home for christmas,2019,113,6.2,1024
tt1051215,tvMovie,Christmas Every Day,christmas every day,1986,22,7.1,38
tt10516322,tvMovie,A Little Christmas Charm,a little christmas charm,2020,84,6.8,1732
tt1053429,tvMovie,Larry the Cable Guy's Christmas Spectacular,larry the cable guys christmas spectacular,2007,60,3.5,267
tt1054055,tvMovie,The Trolls and the Christmas Express,the trolls and the christmas express,1981,30,7.2,46
tt10545474,movie,A Holiday Change,a holiday change,2019,87,5.8,28
tt10553910,tvMovie,Picture a Perfect Christmas,picture a perfect christmas,2019,84,6.9,1847
tt10571920,tvMovie,Nostalgic Christmas,nostalgic christmas,2019,84,6.3,1417
tt10583460,tvMovie,Radio Christmas,radio christmas,2019,87,6.1,541
tt10623478,tvMovie,Christmas Love Letter,christmas love letter,2019,86,6.1,611
tt10627548,movie,Christmas on the Square,christmas on the square,2020,98,5.2,2992
tt10627564,tvMovie,Christmas at Dollywood,christmas at dollywood,2019,83,6.1,1356
tt10635588,movie,A Christmas Wish,a christmas wish,2021,90,6.9,58
tt10642154,tvMovie,Christmas Reservations,christmas reservations,2019,86,6,906
tt10642244,tvMovie,Snowbound for Christmas,snowbound for christmas,2019,83,5.3,715
tt10650924,tvMovie,"Same Time, Next Christmas",same time next christmas,2019,90,6,1506
tt10659766,tvMovie,The Christmas High Note,the christmas high note,2020,85,5.2,283
tt10667026,tvMovie,The Christmas Club,the christmas club,2019,84,6.7,1563
tt1067106,movie,A Christmas Carol,a christmas carol,2009,96,6.8,125562
tt1067769,tvMovie,Christmas Caper,christmas caper,2006,88,5.7,1038
tt10700392,tvMovie,The Road Home for Christmas,the road home for christmas,2019,84,6.8,754
tt10733770,movie,All I Want for Christmas 2,all i want for christmas 2,2020,92,5.7,120
tt10742934,movie,Bad Christmas,bad christmas,2021,93,6.4,443
tt10754206,movie,Hip Hop Holiday,hip hop holiday,2019,87,6.9,97
tt10768194,tvMovie,A New York Christmas Wedding,a new york christmas wedding,2020,88,5.3,1386
tt10768208,tvMovie,A Christmas Duet,a christmas duet,2019,84,5.9,814
tt10768278,tvMovie,Christmas Scavenger Hunt,christmas scavenger hunt,2019,82,6.1,1396
tt10768312,tvMovie,Check Inn to Christmas,check inn to christmas,2019,84,6.8,1634
tt10768328,tvMovie,Double Holiday,double holiday,2019,84,6.8,1509
tt10768410,tvMovie,Christmas at Graceland: Home for the Holidays,christmas at graceland home for the holidays,2019,84,6.2,1123
tt10768456,tvMovie,Holiday Date,holiday date,2019,84,6.4,1770
tt1077081,tvMovie,Elmo's Christmas Countdown,elmos christmas countdown,2007,60,6.2,340
tt1077093,video,The Nutcracker: A Christmas Story,the nutcracker a christmas story,1992,59,7.6,17
tt10771556,tvMovie,A Very Corgi Christmas,a very corgi christmas,2019,90,5.4,685
tt10778144,movie,A Christmas Carol,a christmas carol,2019,73,4.8,45
tt10799008,tvMovie,A Date by Christmas Eve,a date by christmas eve,2019,93,5.8,611
tt10804410,tvMovie,No Time Like Christmas,no time like christmas,2019,85,5.6,419
tt10808294,movie,Christmas on the Range,christmas on the range,2019,90,6.3,665
tt1082815,movie,A Jersey Christmas,a jersey christmas,2008,81,5.2,74
tt1083448,tvMovie,A Princess for Christmas,a princess for christmas,2011,91,6.3,8966
tt1083987,video,Barney's Christmas Star,barneys christmas star,2002,50,6.8,42
tt1083992,tvMovie,Holiday Switch,holiday switch,2007,88,5.4,771
tt10840162,movie,Perfect Christmas,perfect christmas,2019,95,5.4,434
tt10854916,tvMovie,A Christmas Crush,a christmas crush,2019,87,4.5,757
tt10872952,tvMovie,The Gift of Christmas,the gift of christmas,2020,101,5.2,160
tt10873852,tvMovie,Staging Christmas,staging christmas,2019,85,5.5,554
tt10875028,tvMovie,Rock and Roll Christmas,rock and roll christmas,2019,85,5.4,486
tt1087847,tvMovie,For Better or for Worse: A Christmas Angel,for better or for worse a christmas angel,1992,30,8,56
tt10887838,tvMovie,Rediscovering Christmas,rediscovering christmas,2019,87,5.8,452
tt10887846,tvMovie,Christmas Hotel,christmas hotel,2019,88,6,506
tt10887870,tvMovie,A Sweet Christmas Romance,a sweet christmas romance,2019,87,6.3,801
tt10887880,tvMovie,Merry Liddle Christmas,merry liddle christmas,2019,87,5.9,652
tt1091175,tvMovie,Christopher the Christmas Tree,christopher the christmas tree,1993,30,7,134
tt10921042,tvMovie,Christmas at the Plaza,christmas at the plaza,2019,84,6.5,3273
tt10921256,tvMovie,Always and Forever Christmas,always and forever christmas,2019,87,5.4,534
tt10922620,tvMovie,A Christmas Miracle,a christmas miracle,2019,83,6.4,642
tt10922632,tvMovie,Angel Falls: A Novel Holiday,angel falls a novel holiday,2019,84,6.1,1060
tt10922658,tvMovie,Christmas Under the Stars,christmas under the stars,2019,82,6.7,2275
tt10925434,tvMovie,Holiday Hearts,holiday hearts,2019,86,6.5,1142
tt10925460,tvMovie,Christmas in Evergreen: Tidings of Joy,christmas in evergreen tidings of joy,2019,85,6.4,1766
tt10925838,movie,A Beauty & The Beast Christmas,a beauty  the beast christmas,2019,90,4.6,359
tt10926350,tvMovie,Another Christmas Coincidence,another christmas coincidence,2019,85,6.9,1773
tt10926390,tvMovie,A Family Christmas Gift,a family christmas gift,2019,84,5.9,445
tt10936658,tvMovie,A Blue Ridge Mountain Christmas,a blue ridge mountain christmas,2019,84,6.2,1326
tt10952042,tvMovie,It's Beginning to Look a Lot Like Christmas,its beginning to look a lot like christmas,2019,83,6.1,1069
tt10953626,tvMovie,Christmas in Louisiana,christmas in louisiana,2019,90,5.8,597
tt10963938,tvMovie,Sweet Mountain Christmas,sweet mountain christmas,2019,88,6.3,684
tt10963986,tvMovie,Magical Christmas Shoes,magical christmas shoes,2019,87,6.3,619
tt10964186,tvMovie,Christmas 9 to 5,christmas 9 to 5,2019,87,6.2,663
tt10964214,tvMovie,A Doggone Christmas,a doggone christmas,2019,86,5.7,518
tt10964346,tvMovie,Grounded for Christmas,grounded for christmas,2019,86,6.3,1194
tt10964516,tvMovie,You Light Up My Christmas,you light up my christmas,2019,90,5.7,417
tt10964532,tvMovie,The Christmas Temp,the christmas temp,2019,87,5.5,465
tt10979386,tvMovie,Christmas Matchmakers,christmas matchmakers,2019,87,5.5,460
tt10993786,movie,Middleton Christmas,middleton christmas,2020,92,5.5,282
tt10997536,movie,Alone at Christmas,alone at christmas,2019,51,5,10
tt11020096,tvMovie,Twas the Chaos before Christmas,twas the chaos before christmas,2019,83,7.1,163
tt1105269,tvMovie,Christmas in Paradise,christmas in paradise,2007,89,6.2,440
tt1105274,video,The Family Holiday,the family holiday,2007,94,5.8,476
tt11057644,movie,The Christmas Chronicles: Part Two,the christmas chronicles part two,2020,112,6,34047
tt11060704,tvMovie,A Christmas Recipe for Romance,a christmas recipe for romance,2019,88,5.6,575
tt11068326,tvMovie,Time for You to Come Home for Christmas,time for you to come home for christmas,2019,84,7,1234
tt11090180,tvMovie,One Fine Christmas,one fine christmas,2019,NA,6.2,172
tt11090204,tvMovie,Carole's Christmas,caroles christmas,2019,NA,5.3,173
tt11090230,tvMovie,Baking Christmas,baking christmas,2019,84,6.1,177
tt11096888,tvMovie,A Christmas Movie Christmas,a christmas movie christmas,2019,88,5.6,1489
tt11100776,tvMovie,Christmas on My Mind,christmas on my mind,2019,84,6.5,1706
tt11120440,tvMovie,Christmas Belles,christmas belles,2019,85,6.2,164
tt1112097,tvMovie,All I Want for Christmas,all i want for christmas,2007,86,5.5,1136
tt11125908,movie,Merry Christmas Officer Hansel,merry christmas officer hansel,2022,91,6.3,30
tt11141290,video,Framed for the Holidays,framed for the holidays,2018,63,7.5,15
tt11151688,tvMovie,Christmas in Montana,christmas in montana,2019,82,6.6,1195
tt11171322,tvMovie,Our Christmas Love Song,our christmas love song,2019,82,6.3,1082
tt11192428,movie,The Christmas Doodle,the christmas doodle,2021,60,4.4,50
tt11193190,tvMovie,A Homecoming for the Holidays,a homecoming for the holidays,2019,84,6.6,1008
tt11193888,tvMovie,A Family Reunion Christmas,a family reunion christmas,2019,28,5.9,279
tt11225428,tvMovie,The Kacey Musgraves Christmas Show,the kacey musgraves christmas show,2019,45,7.2,520
tt11230402,tvMovie,My Best Friend's Christmas,my best friends christmas,2019,90,5.1,564
tt11241514,tvMovie,A Cheerful Christmas,a cheerful christmas,2019,83,5,1085
tt1125861,video,The Christmas Elves,the christmas elves,1995,48,7.2,140
tt1125873,video,The Night Before Christmas,the night before christmas,1994,48,5.9,732
tt11260886,movie,The Christmas Dance,the christmas dance,2021,94,4.7,283
tt1127697,video,LeapFrog: A Tad of Christmas Cheer,leapfrog a tad of christmas cheer,2007,31,8,35
tt11290298,tvMovie,Christmas Stars,christmas stars,2019,88,6.2,439
tt11318886,movie,Christmas in the Jungle,christmas in the jungle,2020,93,5.3,53
tt1132143,video,A Christmas Celebration: Live from Dublin,a christmas celebration live from dublin,2007,66,8.6,46
tt11324626,movie,The Last Christmas Party,the last christmas party,2020,84,3.8,134
tt1132578,movie,Summer Holiday,summer holiday,2008,103,7,2204
tt11353048,video,Yoda Baby: a Very Merry Mandalorian Christmas,yoda baby a very merry mandalorian christmas,2019,4,5.1,14
tt11354244,movie,Community Theater Christmas,community theater christmas,2019,103,7.5,55
tt11357028,movie,12 Pups of Christmas,12 pups of christmas,2019,85,4,882
tt11358194,movie,Christmas Cheer,christmas cheer,2023,NA,4.2,29
tt1136606,tvMovie,Carols for Christmas,carols for christmas,1985,59,6.5,11
tt11371224,movie,"Merry Christmas, Yiwu",merry christmas yiwu,2020,93,6.7,83
tt11378154,movie,The App That Stole Christmas,the app that stole christmas,2020,63,2.7,759
tt11383142,movie,Greyson Family Christmas,greyson family christmas,2021,87,6,156
tt11386622,movie,CBeebies Christmas Show: Hansel & Gretel,cbeebies christmas show hansel  gretel,2019,NA,7,11
tt1139113,tvMovie,The Little Rascals' Christmas Special,the little rascals christmas special,1979,30,7.1,51
tt1139659,video,Fay's 12 Days of Christmas,fays 12 days of christmas,1995,25,7.7,60
tt1141984,tvMovie,My Friends Tigger and Pooh - Super Sleuth Christmas Movie,my friends tigger and pooh  super sleuth christmas movie,2007,44,5.3,254
tt11421878,tvMovie,Lucy Worsley's Christmas Carol Odyssey,lucy worsleys christmas carol odyssey,2019,NA,7.4,53
tt11422336,tvMovie,Christmas in Vienna,christmas in vienna,2019,90,5.9,557
tt11427974,movie,The Christmas Ride,the christmas ride,2020,70,5.5,82
tt11437784,movie,Christmas Cars,christmas cars,2019,99,3.1,197
tt11455096,tvMovie,A Berry Royal Christmas,a berry royal christmas,2019,58,8.6,26
tt11457736,movie,My Dad's Christmas Date,my dads christmas date,2020,91,5.5,2007
tt1146278,video,Bikini Bloodbath Christmas,bikini bloodbath christmas,2009,71,3.9,186
tt1146294,tvMovie,A Scooby-Doo! Christmas,a scoobydoo christmas,2002,22,6.8,427
tt1147654,video,Toot & Puddle: I'll Be Home for Christmas,toot  puddle ill be home for christmas,2006,46,7.4,49
tt11488988,tvMovie,A Merry Tudor Christmas with Lucy Worsley,a merry tudor christmas with lucy worsley,2019,60,8,162
tt1149589,tvMovie,Christmas Is,christmas is,1970,30,4.8,128
tt11508080,tvMovie,A Crafty Christmas Romance,a crafty christmas romance,2020,84,5.5,578
tt1150958,tvMovie,Radio City Christmas Spectacular,radio city christmas spectacular,2007,84,7,111
tt1151447,video,An Angel for Christmas,an angel for christmas,1996,45,6.4,53
tt1151915,movie,Nothing Like the Holidays,nothing like the holidays,2008,98,6.1,4523
tt1152404,movie,"X-mas, Inc.",xmas inc,2008,110,5.4,136
tt11536760,video,A Christmas Carol,a christmas carol,2020,99,3.4,24
tt11540284,movie,8-Bit Christmas,8bit christmas,2021,97,6.7,20097
tt1155051,tvMovie,Christmas at the Riviera,christmas at the riviera,2007,94,6.1,223
tt1157557,tvMovie,Story of the Christmas Carol,story of the christmas carol,1955,29,4.7,10
tt11585172,tvMovie,Much Ado About Christmas,much ado about christmas,2021,85,6.8,991
tt11585200,tvMovie,The Christmas Waltz,the christmas waltz,2020,83,7,2315
tt1159198,tvMovie,An Accidental Christmas,an accidental christmas,2007,90,4.5,606
tt1159925,tvMovie,Christmas at Cadillac Jack's,christmas at cadillac jacks,2007,58,6.7,278
tt11615500,tvMovie,Candy Cane Christmas,candy cane christmas,2020,91,5.6,744
tt1163297,video,Retro Christmas Classics,retro christmas classics,2007,NA,8.7,10
tt11637974,tvMovie,A Taste of Christmas,a taste of christmas,2020,91,5.6,608
tt11640628,movie,The Business of Christmas,the business of christmas,2020,105,5.9,55
tt1164729,tvMovie,Charles Dickens & the Invention of Christmas,charles dickens  the invention of christmas,2007,59,7.7,41
tt1164730,tvMovie,The Comedy Christmas,the comedy christmas,2007,69,4.8,12
tt11649070,video,Last Christmas: Emilia Sings,last christmas emilia sings,2019,1,8.9,20
tt11666938,tvMovie,Inn Love by Christmas,inn love by christmas,2020,88,5.9,765
tt11667022,tvMovie,The Christmas Ball,the christmas ball,2020,87,5.3,390
tt1169852,tvMovie,The Filmmaker's Holiday,the filmmakers holiday,1974,37,6.5,46
tt11702278,movie,A Wrestling Christmas Miracle,a wrestling christmas miracle,2020,90,2.2,154
tt11738870,tvMovie,Christmas on Ice,christmas on ice,2020,87,6.1,1086
tt11753704,tvMovie,The Christmas Listing,the christmas listing,2020,84,5.2,589
tt1175514,tvMovie,The First Christmas,the first christmas,1979,25,7,18
tt11764856,movie,A Christmas Cancellation,a christmas cancellation,2020,92,4.2,81
tt11766316,tvMovie,White Christmas,white christmas,1995,26,6.1,20
tt1177949,tvMovie,The Smurfs Christmas Special,the smurfs christmas special,1982,23,6.4,326
tt1179275,tvMovie,Lollipop Dragon: The Great Christmas Race,lollipop dragon the great christmas race,1985,22,7,20
tt1180340,tvMovie,Madeline's Christmas,madelines christmas,1990,24,7.6,74
tt1182600,video,'White Christmas': A Look Back with Rosemary Clooney,white christmas a look back with rosemary clooney,2000,17,7.7,154
tt1182607,video,Billie Holiday: The Ultimate Collection,billie holiday the ultimate collection,2005,NA,8.1,18
tt11828420,tvMovie,Christmas on the Vine,christmas on the vine,2020,87,6.1,613
tt1183892,video,A Charlie Brown Kwanzaa,a charlie brown kwanzaa,2000,7,8.1,43
tt1184384,tvMovie,The Light Before Christmas,the light before christmas,2007,28,6.1,63
tt11847642,tvMovie,Deliver by Christmas,deliver by christmas,2020,84,6.6,1339
tt11865966,video,A Kwekwe Christmas Carol,a kwekwe christmas carol,2020,100,4.8,10
tt11869546,movie,Miracle on Christmas,miracle on christmas,2020,87,5.8,243
tt1186995,video,Apollo 8: Christmas at the Moon,apollo 8 christmas at the moon,2002,51,6.5,12
tt11877948,movie,Cupid for Christmas,cupid for christmas,2021,87,5.6,234
tt1189379,tvMovie,EastEnders Christmas Fall Outs,eastenders christmas fall outs,2007,NA,9,11
tt11927670,movie,Ace & the Christmas Miracle,ace  the christmas miracle,2021,91,4.5,114
tt11929008,tvMovie,A Very Charming Christmas Town,a very charming christmas town,2020,88,5.9,923
tt11947282,tvMovie,A Loud House Christmas,a loud house christmas,2021,64,4.4,1738
tt1198337,movie,Christmas in Paris,christmas in paris,2008,120,4.6,75
tt12014644,movie,A Meowy Christmas Vacation,a meowy christmas vacation,2020,50,6.5,21
tt1205608,tvMovie,Yogi Bear's All-Star Comedy Christmas Caper,yogi bears allstar comedy christmas caper,1982,24,6.7,267
tt12092722,movie,A New Husband for Christmas,a new husband for christmas,2020,103,5.6,95
tt12110636,tvMovie,A Royal Christmas Engagement,a royal christmas engagement,2020,86,4.8,474
tt12228496,tvMovie,Christmas by Chance,christmas by chance,2020,97,6.2,335
tt12246716,movie,A Christmas Prayer,a christmas prayer,2022,NA,8.2,36
tt12269268,tvMovie,The Maltese Holiday,the maltese holiday,2021,83,4.9,200
tt12298120,video,Buffy the Vampire Slayer: 1-800 Collect 'A Buffy Christmas' Commercial,buffy the vampire slayer 1800 collect a buffy christmas commercial,1998,1,7.9,17
tt1230119,tvMovie,A Christmas Story,a christmas story,1972,30,6.6,108
tt1232802,tvMovie,A Tudor Feast at Christmas,a tudor feast at christmas,2006,59,8.3,178
tt12362248,movie,Christmas vs. The Walters,christmas vs the walters,2021,91,4.5,360
tt12389030,tvMovie,A Very Country Christmas: Homecoming,a very country christmas homecoming,2020,84,6.1,435
tt12409642,video,"Soylent Scrooge: Or, Christmas Is Made of People",soylent scrooge or christmas is made of people,2017,146,4.8,13
tt12418270,movie,A Christmas Tree Love Story,a christmas tree love story,2020,70,4.4,32
tt1242748,video,Johnson Family Christmas Dinner,johnson family christmas dinner,2008,88,1.5,127
tt12457534,tvMovie,The Christmas Masterpiece,the christmas masterpiece,2020,NA,7.5,17
tt12457826,video,Everything is Terrible! Holiday Special,everything is terrible holiday special,2012,50,7.9,20
tt1249300,tvMovie,"Merry Christmas, Drake & Josh",merry christmas drake  josh,2008,90,6.7,4390
tt12557978,tvMovie,A Christmas Tree Grows in Colorado,a christmas tree grows in colorado,2020,85,5.6,822
tt12579258,tvMovie,Lonestar Christmas,lonestar christmas,2020,87,5.8,530
tt1259757,video,The Christmas Story Keepers,the christmas story keepers,1998,70,6.5,25
tt1260564,video,Christmas Day,christmas day,2007,86,7.3,36
tt12637024,tvMovie,A Cape Cod Christmas,a cape cod christmas,2021,89,5.9,380
tt12670178,movie,Christmas by the Book,christmas by the book,2022,81,5.4,24
tt12677210,movie,Christmas Freak,christmas freak,2021,91,3.1,131
