fips,year,unempl_rate
36055,2017,4.9000001
36055,2018,4.1999998
36055,2019,4
36055,2020,8.6000004
36057,2012,10.5
36057,2013,9.3999996
36057,2014,7.5
36057,2015,6.5999999
36057,2016,5.8000002
36057,2017,5.6999998
36057,2018,5.0999999
36057,2019,4.9000001
36057,2020,8.8000002
36059,2012,7.0999999
36059,2013,6.0999999
36059,2014,4.8000002
36059,2015,4.3000002
36059,2016,4
36059,2017,4.0999999
36059,2018,3.5
36059,2019,3.3
36059,2020,8.3999996
36061,2012,8.1000004
36061,2013,7.5
36061,2014,6
36061,2015,4.8000002
36061,2016,4.5
36061,2017,4
36061,2018,3.7
36061,2019,3.4000001
36061,2020,9.5
36063,2012,9.5
36063,2013,8.6999998
36063,2014,7.0999999
36063,2015,6.1999998
36063,2016,5.9000001
36063,2017,6.1999998
36063,2018,5.1999998
36063,2019,4.8000002
36063,2020,10.4
36065,2012,8.3999996
36065,2013,7.5999999
36065,2014,6.1999998
36065,2015,5.4000001
36065,2016,4.9000001
36065,2017,5
36065,2018,4.4000001
36065,2019,4.0999999
36065,2020,8.1000004
36067,2012,8
36067,2013,7
36067,2014,5.5999999
36067,2015,5
36067,2016,4.5999999
36067,2017,4.6999998
36067,2018,4
36067,2019,3.8
36067,2020,8.3999996
36069,2012,7.4000001
36069,2013,6.5
36069,2014,5.3000002
36069,2015,4.8000002
36069,2016,4.4000001
36069,2017,4.5
36069,2018,3.9000001
36069,2019,3.7
36069,2020,7.3000002
36071,2012,8
36071,2013,7
36071,2014,5.5
36071,2015,4.6999998
36071,2016,4.4000001
36071,2017,4.5
36071,2018,3.9000001
36071,2019,3.5999999
36071,2020,8.3999996
36073,2012,9.8000002
36073,2013,9.3000002
36073,2014,7.6999998
36073,2015,6.4000001
36073,2016,5.8000002
36073,2017,5.9000001
36073,2018,4.9000001
36073,2019,4.5
36073,2020,8.3999996
36075,2012,11.1
36075,2013,10.1
36075,2014,8.1000004
36075,2015,7.1999998
36075,2016,6.5999999
36075,2017,6.4000001
36075,2018,5.5
36075,2019,5.1999998
36075,2020,8.8999996
36077,2012,8
36077,2013,7
36077,2014,5.8000002
36077,2015,5.4000001
36077,2016,5
36077,2017,5
36077,2018,4.3000002
36077,2019,4.0999999
36077,2020,7.1999998
36079,2012,7.3000002
36079,2013,6.1999998
36079,2014,5
36079,2015,4.3000002
36079,2016,4.0999999
36079,2017,4.1999998
36079,2018,3.7
36079,2019,3.5
36079,2020,7.5999999
36081,2012,8.3999996
36081,2013,7.6999998
36081,2014,6.1999998
36081,2015,4.9000001
36081,2016,4.5
36081,2017,3.9000001
36081,2018,3.5999999
36081,2019,3.4000001
36081,2020,12.5
36083,2012,7.9000001
36083,2013,6.8000002
36083,2014,5.4000001
36083,2015,4.6999998
36083,2016,4.4000001
36083,2017,4.4000001
36083,2018,3.9000001
36083,2019,3.5999999
36083,2020,7
36085,2012,9.6000004
36085,2013,8.8999996
36085,2014,7.3000002
36085,2015,5.6999998
36085,2016,5.1999998
36085,2017,4.5999999
36085,2018,4.0999999
36085,2019,3.8
36085,2020,10.6
36087,2012,7.4000001
36087,2013,6.4000001
36087,2014,5.1999998
36087,2015,4.5999999
36087,2016,4.3000002
36087,2017,4.3000002
36087,2018,3.7
36087,2019,3.4000001
36087,2020,8.1000004
36089,2012,10.3
36089,2013,9.3999996
36089,2014,7.8000002
36089,2015,7.4000001
36089,2016,6.6999998
36089,2017,6.5999999
36089,2018,5.5999999
36089,2019,5.3000002
36089,2020,8.1999998
36091,2012,6.9000001
36091,2013,6
36091,2014,4.6999998
36091,2015,4.1999998
36091,2016,3.9000001
36091,2017,4
36091,2018,3.5
36091,2019,3.2
36091,2020,6.6999998
36093,2012,7.8000002
36093,2013,6.9000001
36093,2014,5.4000001
36093,2015,4.8000002
36093,2016,4.4000001
36093,2017,4.5
36093,2018,4
36093,2019,3.7
36093,2020,8.1000004
36095,2012,9.3000002
36095,2013,8.3000002
