play_id,game_id,drive,week,posteam,qtr,down,half_seconds_remaining,pass,wp
1,2022_01_BAL_NYJ,NA,1,NA,1,NA,1800,0,0.5462617874145508
43,2022_01_BAL_NYJ,1,1,NYJ,1,NA,1800,0,0.5462617874145508
68,2022_01_BAL_NYJ,1,1,NYJ,1,1,1796,0,0.5469689965248108
89,2022_01_BAL_NYJ,1,1,NYJ,1,1,1769,1,0.5725733637809753
115,2022_01_BAL_NYJ,1,1,NYJ,1,2,1765,0,0.5545365810394287
136,2022_01_BAL_NYJ,1,1,NYJ,1,3,1741,1,0.5401672720909119
172,2022_01_BAL_NYJ,1,1,NYJ,1,4,1733,0,0.48805323243141174
202,2022_01_BAL_NYJ,2,1,BAL,1,1,1722,1,0.4958201050758362
230,2022_01_BAL_NYJ,2,1,BAL,1,2,1701,1,0.4965941905975342
254,2022_01_BAL_NYJ,2,1,BAL,1,3,1661,0,0.49873167276382446
275,2022_01_BAL_NYJ,2,1,BAL,1,1,1621,0,0.5224343538284302
301,2022_01_BAL_NYJ,2,1,BAL,1,2,1579,1,0.5067707300186157
330,2022_01_BAL_NYJ,2,1,BAL,1,3,1540,0,0.5139741897583008
351,2022_01_BAL_NYJ,2,1,NA,1,NA,1496,0,0.4737365245819092
368,2022_01_BAL_NYJ,2,1,BAL,1,4,1496,0,0.4737365245819092
391,2022_01_BAL_NYJ,3,1,NYJ,1,1,1489,0,0.5285018086433411
412,2022_01_BAL_NYJ,3,1,NYJ,1,2,1451,1,0.500128448009491
436,2022_01_BAL_NYJ,3,1,NYJ,1,3,1411,1,0.4877713620662689
469,2022_01_BAL_NYJ,3,1,NYJ,1,1,1407,0,0.5392913818359375
490,2022_01_BAL_NYJ,3,1,NYJ,1,2,1371,0,0.5261698961257935
511,2022_01_BAL_NYJ,3,1,NYJ,1,3,1336,1,0.49645358324050903
533,2022_01_BAL_NYJ,3,1,NYJ,1,4,1332,0,0.459852933883667
552,2022_01_BAL_NYJ,4,1,BAL,1,1,1325,1,0.5135151147842407
574,2022_01_BAL_NYJ,4,1,BAL,1,2,1322,0,0.49784010648727417
