hh_id,gender,schooling,region,year,saving3000below,pension_saving,family_size,net_asset,public_pension,home_owner,age,age_sq,hh_expenditure,hh_income
825,Male,High School Diploma,"Los Angeles, CA",2005,TRUE,1393.0975401802398,3,-150918.87,TRUE,TRUE,57,3249,2368.264529837018,1950.336108425355
870,Male,Master's Degree,"Los Angeles, CA",2005,TRUE,2786.1948559047646,4,58045.71799999999,TRUE,TRUE,43,1849,6268.938994940324,6965.4848768970005
870,Male,Master's Degree,"Los Angeles, CA",2006,TRUE,6812.76129178936,4,23844.670000000002,FALSE,TRUE,44,1936,6676.510167489228,7948.220928287748
875,Male,Bachelor's Degree,"New York, NY",2005,TRUE,975.1680284233744,4,-1625.2808,TRUE,TRUE,39,1521,5572.387630221508,8114.792421371304
917,Male,Ph.D. Degree,"New York, NY",2005,FALSE,5572.389820137094,4,69654.85800000001,TRUE,TRUE,41,1681,7940.651470049825,8126.400812258261
917,Male,Ph.D. Degree,"New York, NY",2006,FALSE,5450.209313104665,4,-22709.209000000003,TRUE,TRUE,42,1764,6676.510167489228,9314.184199748208
923,Male,High School Diploma,"Los Angeles, CA",2005,TRUE,1393.0975401802398,4,-11609.143,TRUE,FALSE,38,1444,1671.7169649848413,1811.026154862004
953,Male,Bachelor's Degree,"Jacksonville, FL",2005,TRUE,1393.0975401802398,1,38890.635,TRUE,TRUE,32,1024,1671.7169649848413,6268.938994940324
977,Male,Bachelor's Degree,"New York, NY",2005,TRUE,1393.0975401802398,4,12770.056999999999,TRUE,TRUE,34,1156,3343.43399496622,4504.345605991885
977,Male,Bachelor's Degree,"New York, NY",2006,TRUE,1362.5522752999839,4,-34063.813,FALSE,TRUE,35,1225,3815.147476564133,5563.753225139539
983,Male,Bachelor's Degree,"Los Angeles, CA",2005,FALSE,6965.484131548688,4,139309.73,TRUE,TRUE,53,2809,7940.651470049825,10587.54087883663
983,Male,Bachelor's Degree,"Los Angeles, CA",2006,FALSE,8856.59087968207,4,170319.06,FALSE,TRUE,54,2916,7916.4329638250365,14185.311403276804
989,Male,Bachelor's Degree,"Los Angeles, CA",2005,TRUE,2786.1948559047646,4,-60367.543999999994,TRUE,TRUE,34,1156,3482.744112115419,8103.184406439048
991,Male,Bachelor's Degree,"Los Angeles, CA",2005,TRUE,1393.0975401802398,3,204320.92,TRUE,TRUE,47,2209,2716.539210266859,6210.88887030837
991,Male,Bachelor's Degree,"Los Angeles, CA",2006,TRUE,1362.5522752999839,3,-397411.13,FALSE,TRUE,48,2304,3201.998099432136,6422.163925893302
995,Male,Associate's Degree,"Los Angeles, CA",2005,TRUE,1393.0975401802398,4,-23218.286,TRUE,TRUE,38,1444,2716.539210266859,6837.786177720699
1009,Female,High School Diploma,"New York, NY",2005,TRUE,2786.1948559047646,3,-58045.71799999999,TRUE,FALSE,50,2500,2228.9560147168886,6454.6824006363395
1035,Male,Bachelor's Degree,"Los Angeles, CA",2005,TRUE,1393.0975401802398,6,0,TRUE,TRUE,58,3364,5015.150951785665,8428.237041473241
1072,Male,Ph.D. Degree,"New York, NY",2005,TRUE,2786.1948559047646,4,593459.41,TRUE,FALSE,47,2209,5572.387630221508,8590.76527442313
1072,Male,Ph.D. Degree,"New York, NY",2006,TRUE,2725.1046035761487,4,681276.25,TRUE,FALSE,48,2304,4360.1694488368485,7380.489180364302
1094,Male,High School Diploma,"New York, NY",2005,FALSE,4875.840569074219,4,257722.96999999997,TRUE,FALSE,37,1369,3204.124291375578,5282.158500106975
1094,Male,High School Diploma,"New York, NY",2006,FALSE,4768.934544473572,4,237311.22999999998,FALSE,FALSE,38,1444,4700.80570687076,6063.358297073584
1127,Male,Middle School,"Los Angeles, CA",2005,TRUE,1253.7878057938074,4,8706.8573,TRUE,TRUE,51,2601,5474.873777056276,6094.798003373102
1135,Male,Master's Degree,"Los Angeles, CA",2005,TRUE,2507.575409577469,4,1172523.5,TRUE,FALSE,49,2401,8358.5813775595,12175.6714947161
1142,Male,Bachelor's Degree,"Los Angeles, CA",2005,FALSE,5572.389820137094,5,315536.54,FALSE,FALSE,61,3721,2925.5044314679926,4390.579930657956
1221,Male,Associate's Degree,"Los Angeles, CA",2005,TRUE,2786.1948559047646,4,-5804.5715,TRUE,FALSE,57,3249,2368.264529837018,2944.0786651761996
1221,Male,Associate's Degree,"Los Angeles, CA",2006,TRUE,2725.1046035761487,4,-34063.813,FALSE,TRUE,58,3364,3270.125688490926,4414.671920127421
1231,Male,Bachelor's Degree,"Los Angeles, CA",2005,FALSE,4179.292667900005,5,-17413.711,TRUE,TRUE,36,1296,3482.744112115419,4527.567506625874
1231,Male,Bachelor's Degree,"Los Angeles, CA",2006,FALSE,4087.656872220828,5,30884.521,FALSE,TRUE,37,1369,3815.147476564133,5904.3916472706305
1300,Male,Bachelor's Degree,"Los Angeles, CA",2005,FALSE,4457.909855908418,4,610641.02,TRUE,TRUE,58,3364,10866.157263544817,17297.6269403669
1300,Male,Bachelor's Degree,"Los Angeles, CA",2006,FALSE,2725.1046035761487,4,103667.54000000001,FALSE,TRUE,59,3481,9973.885438236019,18349.03566893186
1307,Male,Associate's Degree,"Los Angeles, CA",2005,FALSE,4179.292667900005,6,-29022.856,FALSE,FALSE,45,2025,2786.1937609469933,4214.120545873674
1309,Male,Associate's Degree,"New York, NY",2005,TRUE,2089.646293327163,5,13930.972,TRUE,TRUE,40,1600,3468.812169247219,4179.292697179938
1309,Male,Associate's Degree,"New York, NY",2006,TRUE,2043.8283963782792,5,17031.907,FALSE,TRUE,41,1681,3161.122294452069,4882.478210667669
1368,Male,High School Diploma,"Chicago, IL",2005,TRUE,2089.646293327163,4,41560.731999999996,TRUE,TRUE,54,2916,3900.670342344329,3981.934756961162
1368,Male,High School Diploma,"Chicago, IL",2006,TRUE,4087.656872220828,4,25547.860999999997,FALSE,TRUE,55,3025,4087.6569008587653,6477.801130193446
1372,Female,Elementary School,"Chicago, IL",2005,TRUE,835.8584603872998,3,3482.7429,FALSE,TRUE,67,4489,696.5484131548689,406.3200298673696
1418,Male,High School Diploma,"Chicago, IL",2005,TRUE,1393.0975401802398,4,11609.146,TRUE,TRUE,54,2916,4457.909887140334,5572.387630221508
1435,Male,High School Diploma,"Chicago, IL",2005,TRUE,2786.1948559047646,5,-11609.143,TRUE,TRUE,57,3249,3482.744112115419,4597.222059741935
