date,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2021-10-23,23/10/2021,Brighton,Man City,1,4,A,0,3,A
2021-10-24,24/10/2021,Brentford,Leicester,1,2,A,0,1,A
2021-10-24,24/10/2021,West Ham,Tottenham,1,0,H,0,0,D
2021-10-24,24/10/2021,Man United,Liverpool,0,5,A,0,4,A
2021-10-30,30/10/2021,Leicester,Arsenal,0,2,A,0,2,A
2021-10-30,30/10/2021,Burnley,Brentford,3,1,H,3,0,H
2021-10-30,30/10/2021,Liverpool,Brighton,2,2,D,2,1,H
2021-10-30,30/10/2021,Man City,Crystal Palace,0,2,A,0,1,A
2021-10-30,30/10/2021,Newcastle,Chelsea,0,3,A,0,0,D
2021-10-30,30/10/2021,Watford,Southampton,0,1,A,0,1,A
2021-10-30,30/10/2021,Tottenham,Man United,0,3,A,0,1,A
2021-10-31,31/10/2021,Norwich,Leeds,1,2,A,0,0,D
2021-10-31,31/10/2021,Aston Villa,West Ham,1,4,A,1,2,A
2021-11-01,01/11/2021,Wolves,Everton,2,1,H,2,0,H
2021-11-05,05/11/2021,Southampton,Aston Villa,1,0,H,1,0,H
2021-11-06,06/11/2021,Man United,Man City,0,2,A,0,2,A
2021-11-06,06/11/2021,Brentford,Norwich,1,2,A,0,2,A
2021-11-06,06/11/2021,Chelsea,Burnley,1,1,D,1,0,H
2021-11-06,06/11/2021,Crystal Palace,Wolves,2,0,H,0,0,D
2021-11-06,06/11/2021,Brighton,Newcastle,1,1,D,1,0,H
2021-11-07,07/11/2021,Arsenal,Watford,1,0,H,0,0,D
2021-11-07,07/11/2021,Everton,Tottenham,0,0,D,0,0,D
2021-11-07,07/11/2021,Leeds,Leicester,1,1,D,1,1,D
2021-11-07,07/11/2021,West Ham,Liverpool,3,2,H,1,1,D
2021-11-20,20/11/2021,Leicester,Chelsea,0,3,A,0,2,A
2021-11-20,20/11/2021,Aston Villa,Brighton,2,0,H,0,0,D
2021-11-20,20/11/2021,Burnley,Crystal Palace,3,3,D,2,3,A
2021-11-20,20/11/2021,Newcastle,Brentford,3,3,D,2,2,D
2021-11-20,20/11/2021,Norwich,Southampton,2,1,H,1,1,D
2021-11-20,20/11/2021,Watford,Man United,4,1,H,2,0,H
2021-11-20,20/11/2021,Wolves,West Ham,1,0,H,0,0,D
2021-11-20,20/11/2021,Liverpool,Arsenal,4,0,H,1,0,H
2021-11-21,21/11/2021,Man City,Everton,3,0,H,1,0,H
2021-11-21,21/11/2021,Tottenham,Leeds,2,1,H,0,1,A
2021-11-27,27/11/2021,Arsenal,Newcastle,2,0,H,0,0,D
2021-11-27,27/11/2021,Crystal Palace,Aston Villa,1,2,A,0,1,A
2021-11-27,27/11/2021,Liverpool,Southampton,4,0,H,3,0,H
2021-11-27,27/11/2021,Norwich,Wolves,0,0,D,0,0,D
2021-11-27,27/11/2021,Brighton,Leeds,0,0,D,0,0,D
2021-11-28,28/11/2021,Brentford,Everton,1,0,H,1,0,H
2021-11-28,28/11/2021,Leicester,Watford,4,2,H,3,1,H
2021-11-28,28/11/2021,Man City,West Ham,2,1,H,1,0,H
2021-11-28,28/11/2021,Chelsea,Man United,1,1,D,0,0,D
2021-11-30,30/11/2021,Newcastle,Norwich,1,1,D,0,0,D
2021-11-30,30/11/2021,Leeds,Crystal Palace,1,0,H,0,0,D
2021-12-01,01/12/2021,Southampton,Leicester,2,2,D,2,1,H
2021-12-01,01/12/2021,Watford,Chelsea,1,2,A,1,1,D
2021-12-01,01/12/2021,West Ham,Brighton,1,1,D,1,0,H
2021-12-01,01/12/2021,Wolves,Burnley,0,0,D,0,0,D
2021-12-01,01/12/2021,Aston Villa,Man City,1,2,A,0,2,A
2021-12-01,01/12/2021,Everton,Liverpool,1,4,A,1,2,A
2021-12-02,02/12/2021,Tottenham,Brentford,2,0,H,1,0,H
2021-12-02,02/12/2021,Man United,Arsenal,3,2,H,1,1,D
2021-12-04,04/12/2021,West Ham,Chelsea,3,2,H,1,2,A
2021-12-04,04/12/2021,Newcastle,Burnley,1,0,H,1,0,H
2021-12-04,04/12/2021,Southampton,Brighton,1,1,D,1,0,H
2021-12-04,04/12/2021,Wolves,Liverpool,0,1,A,0,0,D
2021-12-04,04/12/2021,Watford,Man City,1,3,A,0,2,A
2021-12-05,05/12/2021,Leeds,Brentford,2,2,D,1,0,H
2021-12-05,05/12/2021,Man United,Crystal Palace,1,0,H,0,0,D
2021-12-05,05/12/2021,Tottenham,Norwich,3,0,H,1,0,H
2021-12-05,05/12/2021,Aston Villa,Leicester,2,1,H,1,1,D
2021-12-06,06/12/2021,Everton,Arsenal,2,1,H,0,1,A
2021-12-10,10/12/2021,Brentford,Watford,2,1,H,0,1,A
2021-12-11,11/12/2021,Man City,Wolves,1,0,H,0,0,D
2021-12-11,11/12/2021,Arsenal,Southampton,3,0,H,2,0,H
2021-12-11,11/12/2021,Chelsea,Leeds,3,2,H,1,1,D
2021-12-11,11/12/2021,Liverpool,Aston Villa,1,0,H,0,0,D
2021-12-11,11/12/2021,Norwich,Man United,0,1,A,0,0,D
2021-12-12,12/12/2021,Burnley,West Ham,0,0,D,0,0,D
2021-12-12,12/12/2021,Leicester,Newcastle,4,0,H,1,0,H
2021-12-12,12/12/2021,Crystal Palace,Everton,3,1,H,1,0,H
2021-12-14,14/12/2021,Norwich,Aston Villa,0,2,A,0,1,A
2021-12-14,14/12/2021,Man City,Leeds,7,0,H,3,0,H
2021-12-15,15/12/2021,Brighton,Wolves,0,1,A,0,1,A
2021-12-15,15/12/2021,Crystal Palace,Southampton,2,2,D,1,2,A
2021-12-15,15/12/2021,Arsenal,West Ham,2,0,H,0,0,D
2021-12-16,16/12/2021,Chelsea,Everton,1,1,D,0,0,D
2021-12-16,16/12/2021,Liverpool,Newcastle,3,1,H,2,1,H
2021-12-18,18/12/2021,Leeds,Arsenal,1,4,A,0,3,A
2021-12-19,19/12/2021,Newcastle,Man City,0,4,A,0,2,A
2021-12-19,19/12/2021,Wolves,Chelsea,0,0,D,0,0,D
2021-12-19,19/12/2021,Tottenham,Liverpool,2,2,D,1,1,D
2021-12-26,26/12/2021,Man City,Leicester,6,3,H,4,0,H
2021-12-26,26/12/2021,Norwich,Arsenal,0,5,A,0,2,A
2021-12-26,26/12/2021,Tottenham,Crystal Palace,3,0,H,2,0,H
2021-12-26,26/12/2021,West Ham,Southampton,2,3,A,0,1,A
2021-12-26,26/12/2021,Aston Villa,Chelsea,1,3,A,1,1,D
2021-12-26,26/12/2021,Brighton,Brentford,2,0,H,2,0,H
2021-12-27,27/12/2021,Newcastle,Man United,1,1,D,1,0,H
2021-12-28,28/12/2021,Crystal Palace,Norwich,3,0,H,3,0,H
2021-12-28,28/12/2021,Southampton,Tottenham,1,1,D,1,1,D
2021-12-28,28/12/2021,Watford,West Ham,1,4,A,1,2,A
2021-12-28,28/12/2021,Leicester,Liverpool,1,0,H,0,0,D
2021-12-29,29/12/2021,Chelsea,Brighton,1,1,D,1,0,H
2021-12-29,29/12/2021,Brentford,Man City,0,1,A,0,1,A
2021-12-30,30/12/2021,Man United,Burnley,3,1,H,3,1,H
2022-01-01,01/01/2022,Arsenal,Man City,1,2,A,1,0,H
2022-01-01,01/01/2022,Watford,Tottenham,0,1,A,0,0,D
2022-01-01,01/01/2022,Crystal Palace,West Ham,2,3,A,0,3,A
2022-01-02,02/01/2022,Brentford,Aston Villa,2,1,H,1,1,D
2022-01-02,02/01/2022,Everton,Brighton,2,3,A,0,2,A
2022-01-02,02/01/2022,Leeds,Burnley,3,1,H,1,0,H
2022-01-02,02/01/2022,Chelsea,Liverpool,2,2,D,2,2,D
2022-01-03,03/01/2022,Man United,Wolves,0,1,A,0,0,D
2022-01-11,11/01/2022,Southampton,Brentford,4,1,H,2,1,H
