id_player,Born,City,Cntry,Nat,Ht,Wt,Last_Name,First_Name,Position,Team,GP,G,A,TOI,TOI_GP
408,13.08.1994,Surrey,CAN,CAN,76,219,Khaira,Jujhar,LW,EDM,10,1,0,5554,9.25
409,14.09.1989,Halifax,CAN,CAN,73,196,Killorn,Alex,LW/C,T.B,81,19,17,87494,18
410,10.02.1987,Sumperk,CZE,CZE,75,199,Kindl,Jakub,D,FLA,39,0,4,34376,14.68
411,05.07.1989,Meadow Lake,CAN,CAN,76,229,King,Dwight,LW/RW,L.A/MTL,80,9,7,69152,14.4
412,20.07.1993,Karlstad,SWE,SWE,75,220,Klefbom,Oscar,D,EDM,82,12,26,110061,22.37
413,13.12.1984,Kitchener,CAN,CAN,73,206,Klein,Kevin,D,NYR,60,3,11,63490,17.63
414,14.08.1992,Gothenburg,SWE,SWE,74,180,Klingberg,John,D,DAL,80,13,36,112108,23.35
415,18.02.1994,Winchester,CAN,CAN,74,193,Koekkoek,Slater,D,T.B,29,0,4,22592,12.98
416,12.03.1983,Turku,FIN,FIN,75,215,Koivu,Mikko,C,MIN,80,18,40,91753,19.12
417,23.01.1987,Narva,EST,FIN,71,210,Komarov,Leo,C/LW,TOR,82,14,18,84002,16.97
418,11.03.1997,London,CAN,CAN,70,175,Konecny,Travis,C/LW,PHI,70,11,17,59180,14.08
419,24.08.1987,Jesenice,SVN,SVN,75,224,Kopitar,Anze,C,L.A,76,12,40,94694,20.77
420,28.07.1986,Turku,FIN,FIN,73,193,Korpikoski,Lauri,LW/RW,CBJ/DAL,69,8,12,51364,12.4
421,14.04.1993,Kaunianen,FIN,FIN,71,175,Kossila,Kalle,LW/C,ANA,1,0,0,414,6.9
422,30.04.1991,Boxford,USA,USA,75,228,Kreider,Chris,LW/C,NYR,75,28,25,76522,17
423,28.04.1986,Sternberk,CZE,CZE,72,186,Krejci,David,C,BOS,82,23,31,89860,18.17
424,12.01.1981,Stockholm,SWE,SWE,72,194,Kronwall,Niklas,D,DET,57,2,11,66530,19.45
425,12.04.1991,Livonia,USA,USA,69,186,Krug,Torey,D,BOS,81,8,43,104979,21.47
