genre,year,average_rating
Romance,1992,5.85
Romance,1995,6.033333333333333
Romance,1996,6.35
Romance,1997,6.5
Romance,1998,6.533333333333333
Romance,1999,5.733333333333333
Romance,2000,6.300000000000001
Romance,2001,6.4
Romance,2003,5.199999999999999
Romance,2004,4.800000000000001
Romance,2005,6.35
Romance,2006,5.875
Romance,2007,5.96
Romance,2008,5.6
Romance,2009,6.1
Romance,2010,6.575
Romance,2011,5.7749999999999995
Romance,2012,5.85
Romance,2013,5.95
Romance,2014,6.22
Romance,2015,6.08
Romance,2016,6.011111111111111
Romance,2017,6.146341463414634
Romance,2018,6.039344262295082
Romance,2019,5.980487804878049
Romance,2020,6.015730337078652
Romance,2021,5.914678899082569
Romance,2022,5.935294117647059
Romance,2023,6.305882352941176
